Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug|beta	drug|z	drug|p-value	drug|fdr	drug|wald-p-value	drug|wald-fdr
BNIP2	4	-0.003007	-0.026801	0.99214	0.99607	0.97862	0.99667	-0.050134	-0.44138	0.77996	0.99803	0.65894	0.88931
BOK	4	-0.0070902	-0.07956	0.98821	0.99607	0.93659	0.99667	0.18068	2.0018	0.31238	0.99803	0.04531	0.24033
BOP1	4	0.14978	1.1665	0.24754	0.89933	0.24343	0.78218	0.023765	0.18275	0.91552	0.99803	0.85499	0.96709
BORA	4	-0.075487	-0.74486	0.57957	0.99607	0.45636	0.87785	-0.0079352	-0.077326	0.98625	0.99803	0.93836	0.97449
BRAP	4	-0.067034	-0.59147	0.63065	0.99607	0.5542	0.92792	0.13249	1.1547	0.45972	0.99803	0.24821	0.60903
BRCA1	4	0.027802	0.14625	0.83694	0.99607	0.88372	0.99303	-1.1275	-5.8409	0	0	5.1904e-09	1.4592e-07
BRCA2	4	-0.042951	-0.21971	0.76031	0.99607	0.82609	0.98705	-1.3783	-6.9586	0	0	3.4356e-12	2.9145e-10
BRCC3	4	0.068702	0.51993	0.62868	0.99607	0.60311	0.9436	0.027907	0.20862	0.89391	0.99803	0.83474	0.96363
BRD1	4	0.051763	0.46174	0.70727	0.99607	0.64426	0.95918	-0.14584	-1.2849	0.40668	0.99803	0.19881	0.55298
BRD4	4	-0.00068556	-0.006071	0.98232	0.99607	0.99516	0.99667	0.21479	1.8777	0.23772	0.99803	0.060416	0.28474
BRD7	4	-0.012774	-0.13935	0.95481	0.99607	0.88917	0.99392	-0.0065978	-0.071054	0.98625	0.99803	0.94336	0.97449
BRD8	4	0.040866	0.36531	0.76817	0.99607	0.71488	0.9825	0.1982	1.7497	0.26916	0.99803	0.080176	0.3345
BRDT	4	-0.03213	-0.32299	0.82515	0.99607	0.7467	0.9825	0.10015	0.9945	0.5776	0.99803	0.31998	0.66881
BRF1	4	0.040246	0.45251	0.77407	0.99607	0.6509	0.95918	-0.28457	-3.1602	0.1336	0.86667	0.0015769	0.021122
BRF2	4	-0.12119	-1.0602	0.39096	0.95378	0.28906	0.79386	-0.014831	-0.12815	0.94106	0.99803	0.89803	0.97449
BRIP1	4	0.026999	0.17713	0.8389	0.99607	0.8594	0.99131	-1.0459	-6.778	0	0	1.2188e-11	7.7546e-10
BRIX1	4	0.059288	0.46732	0.66405	0.99607	0.64027	0.95918	0.0075976	0.059138	0.96857	0.99803	0.95284	0.97782
BRMS1L	4	-0.10189	-1.3453	0.45972	0.96813	0.17853	0.73068	0.077262	1.0076	0.68173	0.99803	0.31366	0.66522
BRPF3	4	-0.14589	-1.053	0.30255	0.93333	0.29236	0.79386	0.17072	1.2171	0.34381	0.99803	0.22357	0.58358
BRSK1	4	0.035841	0.24459	0.78782	0.99607	0.80677	0.98388	0.15994	1.0781	0.38703	0.99803	0.28099	0.62455
BRWD1	4	0.072705	0.85845	0.59332	0.99607	0.39064	0.84797	-0.09906	-1.1553	0.62475	0.99803	0.24797	0.60903
BSPRY	4	-0.046287	-0.41393	0.74263	0.99607	0.67893	0.95993	-0.07782	-0.68712	0.68762	0.99803	0.49201	0.79472
BTBD8	4	-0.14925	-1.5432	0.29666	0.92073	0.12277	0.6985	0.050735	0.5182	0.80157	0.99803	0.60432	0.85682
BTD	4	0.2287	1.7114	0.056974	0.56604	0.087008	0.69199	-0.40149	-2.9661	0.02554	0.27083	0.0030156	0.035632
BTK	4	0.26336	1.8634	0.02554	0.41935	0.062407	0.65362	-0.016112	-0.11256	0.93713	0.99803	0.91038	0.97449
BUD31	4	-0.11948	-1.3413	0.39489	0.95378	0.17982	0.73068	0.25783	2.8583	0.14735	0.86667	0.0042591	0.046125
BYSL	4	0.20242	1.4186	0.10413	0.75581	0.15601	0.6985	0.014055	0.097198	0.94892	0.99803	0.92257	0.97449
C10orf107	4	-0.080725	-0.8309	0.54813	0.99607	0.40603	0.85755	-0.040895	-0.41568	0.82711	0.99803	0.67765	0.89823
C10orf11	4	0.089224	0.88055	0.50491	0.97348	0.37856	0.83924	-0.16432	-1.6016	0.36739	0.99803	0.10925	0.4016
C10orf12	4	-0.25025	-2.7225	0.11198	0.75581	0.0064796	0.21988	0.1052	1.1303	0.55992	0.99803	0.25834	0.61038
C10orf128	4	0.2111	1.7385	0.090373	0.7541	0.082122	0.68123	-0.2687	-2.1839	0.14538	0.86667	0.028971	0.1967
C10orf137	4	-0.1816	-1.2825	0.22004	0.88971	0.19967	0.75437	0.17487	1.2194	0.32613	0.99803	0.2227	0.58358
C10orf32	4	0.16674	1.0764	0.19646	0.86207	0.28174	0.79386	0.13919	0.88698	0.44597	0.99803	0.37509	0.71239
C10orf67	4	0.28523	1.8502	0.013752	0.29167	0.064279	0.65362	-0.22747	-1.4572	0.21022	0.98165	0.14506	0.45861
C11orf21	4	0.00092722	0.0090025	0.97642	0.99607	0.99282	0.99667	0.10646	1.0209	0.55992	0.99803	0.30728	0.66041
C11orf35	4	0.24845	2.1926	0.035363	0.48649	0.028333	0.5638	-0.26279	-2.2895	0.15324	0.86667	0.022051	0.17323
C11orf42	4	0.15604	1.0593	0.2279	0.88971	0.28945	0.79386	-0.034949	-0.2342	0.85855	0.99803	0.81483	0.96103
C11orf48	4	0.0027825	0.028534	0.97053	0.99607	0.97724	0.99667	0.051859	0.52529	0.79961	0.99803	0.59938	0.85458
C11orf52	4	0.20517	1.5203	0.098232	0.75581	0.12844	0.6985	-0.070954	-0.51928	0.71316	0.99803	0.60357	0.85682
C11orf57	4	0.027495	0.29133	0.83694	0.99607	0.7708	0.9825	-0.085291	-0.89252	0.66601	0.99803	0.37211	0.71239
C11orf65	4	-0.083177	-0.51487	0.53831	0.99607	0.60664	0.9436	0.34319	2.0963	0.068762	0.67308	0.036052	0.22034
C11orf71	4	0.22955	1.7337	0.05501	0.56604	0.082979	0.68123	0.018007	0.13427	0.9332	0.99803	0.89319	0.97449
C11orf80	4	0.11492	1.2309	0.39096	0.95378	0.21836	0.76127	-0.10425	-1.1022	0.60904	0.99803	0.27036	0.61434
C11orf85	4	0.26991	1.7916	0.019646	0.34483	0.073195	0.65362	-0.18599	-1.2192	0.30059	0.99803	0.22277	0.58358
C11orf88	4	-0.1009	-0.8229	0.46758	0.96813	0.41057	0.86164	0.25055	2.0179	0.15717	0.87912	0.043599	0.24033
C11orf95	4	-0.052927	-0.53971	0.69745	0.99607	0.58939	0.9436	0.059459	0.59873	0.76817	0.99803	0.54935	0.82904
C11orf96	4	-0.029937	-0.28783	0.8389	0.99607	0.77348	0.9825	0.027624	0.26228	0.89391	0.99803	0.79311	0.95301
C12orf43	4	-0.098287	-1.0141	0.47741	0.96813	0.31052	0.79964	0.023262	0.23695	0.91749	0.99803	0.8127	0.96103
C12orf54	4	-0.048709	-0.41962	0.73084	0.99607	0.67477	0.95937	0.0061344	0.052191	0.97642	0.99803	0.95838	0.98001
C12orf57	4	0.031302	0.24686	0.81729	0.99607	0.80502	0.98388	0.10312	0.80292	0.56582	0.99803	0.42202	0.74847
C12orf60	4	0.013522	0.10208	0.92338	0.99607	0.9187	0.99667	0.091014	0.67859	0.611	0.99803	0.4974	0.79472
C12orf75	4	-0.052685	-0.5539	0.69941	0.99607	0.57965	0.9436	-0.081816	-0.84947	0.66798	0.99803	0.39562	0.72483
C12orf76	4	0.047534	0.54643	0.72692	0.99607	0.58477	0.9436	-0.11661	-1.3242	0.5501	0.99803	0.18544	0.54033
C13orf45	4	-0.052128	-0.4386	0.7053	0.99607	0.66095	0.95918	0.018649	0.15493	0.92927	0.99803	0.87687	0.97287
C14orf1	4	0.10284	1.0783	0.44401	0.95378	0.28088	0.79386	0.045466	0.47078	0.82515	0.99803	0.63779	0.87503
C14orf132	4	0.16116	1.1713	0.21218	0.88618	0.24149	0.78218	0.0063699	0.04571	0.97642	0.99803	0.96354	0.98001
C14orf166B	4	0.16677	1.0312	0.19646	0.86207	0.30247	0.79386	-0.1636	-0.99892	0.36935	0.99803	0.31783	0.66881
C14orf169	4	0.092988	0.94962	0.49116	0.96947	0.34231	0.81418	-0.101	-1.0189	0.6169	0.99803	0.30824	0.66041
C14orf180	4	-0.033814	-0.27959	0.81925	0.99607	0.77979	0.9825	0.14703	1.2006	0.4224	0.99803	0.22992	0.58808
C14orf80	4	-0.28293	-2.4	0.072692	0.64912	0.016395	0.4636	0.3213	2.6923	0.082515	0.67692	0.0070969	0.075256
C15orf38	4	-0.11848	-1.047	0.39686	0.95378	0.2951	0.79386	0.28885	2.5212	0.10216	0.75362	0.011697	0.11562
C15orf40	4	0.10317	1.0243	0.44204	0.95378	0.30569	0.79386	0.037716	0.36979	0.85069	0.99803	0.71154	0.91969
C15orf43	4	0.042347	0.60443	0.75835	0.99607	0.54556	0.92013	-0.042303	-0.59645	0.82122	0.99803	0.55087	0.82904
C15orf56	4	-0.027949	-0.29413	0.84676	0.99607	0.76866	0.9825	0.055056	0.57219	0.78782	0.99803	0.56719	0.82904
C15orf60	4	0.13704	0.97306	0.28684	0.90123	0.33053	0.80883	0.048647	0.34111	0.81336	0.99803	0.73302	0.93044
C16orf52	4	0.10345	0.93753	0.44204	0.95378	0.34849	0.81742	0.034215	0.30627	0.86444	0.99803	0.7594	0.94599
C16orf55	4	0.22453	1.6051	0.058939	0.56604	0.10847	0.6985	-0.023993	-0.16933	0.89784	0.99803	0.86554	0.96954
C16orf58	4	0.028579	0.25766	0.83694	0.99607	0.79667	0.98388	-0.33365	-2.9707	0.084479	0.67692	0.0029711	0.035632
C16orf59	4	-0.032597	-0.27201	0.82318	0.99607	0.78561	0.9825	-0.062129	-0.51196	0.7446	0.99803	0.60868	0.8606
C16orf71	4	-0.22522	-2.05	0.12181	0.75581	0.040364	0.59952	0.15886	1.4282	0.389	0.99803	0.15322	0.47267
C16orf86	4	-0.15551	-1.2541	0.27701	0.90123	0.20981	0.76127	0.094508	0.75275	0.59921	0.99803	0.4516	0.76647
C16orf93	4	-0.11987	-0.99816	0.39489	0.95378	0.3182	0.80386	-0.22517	-1.8502	0.21415	0.98198	0.064291	0.28705
C16orf96	4	-0.024189	-0.16063	0.88212	0.99607	0.87239	0.99272	0.27391	1.7961	0.1277	0.86667	0.072483	0.31266
C16orf97	4	-0.055415	-0.58105	0.68762	0.99607	0.56121	0.93351	0.12824	1.3282	0.4833	0.99803	0.18411	0.54033
C17orf104	4	0.030501	0.23608	0.82318	0.99607	0.81337	0.98388	-0.08325	-0.63634	0.66601	0.99803	0.52456	0.80909
C17orf107	4	-0.22897	-2.2103	0.12181	0.75581	0.027084	0.5638	0.1265	1.2063	0.48723	0.99803	0.2277	0.58808
C17orf49	4	0.24085	1.4688	0.041257	0.5122	0.14189	0.6985	0.038597	0.23244	0.84479	0.99803	0.8162	0.96103
C17orf62	4	-0.029489	-0.22561	0.84086	0.99607	0.8215	0.98388	0.30542	2.3077	0.086444	0.67692	0.021016	0.17254
C17orf64	4	0.058545	0.51986	0.66405	0.99607	0.60316	0.9436	0.1223	1.0722	0.49902	0.99803	0.28365	0.62773
C17orf67	4	-0.015421	-0.17281	0.9332	0.99607	0.8628	0.99134	0.22662	2.5083	0.20629	0.98131	0.012133	0.11562
C17orf72	4	0.10032	0.85002	0.45383	0.9625	0.39531	0.84797	-0.25231	-2.1115	0.16896	0.91489	0.034725	0.21821
C17orf74	4	0.060295	0.42238	0.66208	0.99607	0.67275	0.95918	0.15426	1.0664	0.40668	0.99803	0.28626	0.63077
C17orf80	4	0.051192	0.38583	0.70923	0.99607	0.69962	0.97564	-0.10338	-0.76967	0.611	0.99803	0.4415	0.76177
C17orf82	4	-0.0026844	-0.026804	0.99214	0.99607	0.97862	0.99667	0.013027	0.12848	0.95088	0.99803	0.89777	0.97449
C17orf85	4	-0.13086	-1.2544	0.35953	0.95378	0.20969	0.76127	0.036476	0.3454	0.85658	0.99803	0.72979	0.93044
C18orf21	4	0.28678	1.8237	0.013752	0.29167	0.068193	0.65362	-0.11103	-0.69729	0.57564	0.99803	0.48562	0.79472
C18orf25	4	-0.11046	-1.0247	0.42633	0.95378	0.3055	0.79386	-0.071593	-0.65601	0.70923	0.99803	0.51182	0.80763
C18orf54	4	0.10431	0.76548	0.43811	0.95378	0.44398	0.87608	0.082125	0.5952	0.65422	0.99803	0.55171	0.82904
C19orf10	4	-0.058959	-0.51387	0.66994	0.99607	0.60735	0.9436	0.032634	0.28086	0.8723	0.99803	0.77882	0.95301
C19orf24	4	0.15721	1.1817	0.22593	0.88971	0.23732	0.78038	0.01187	0.088117	0.95481	0.99803	0.92978	0.97449
C19orf25	4	0.069262	0.54645	0.62475	0.99607	0.58476	0.9436	-0.16212	-1.2632	0.37328	0.99803	0.20652	0.55918
C19orf33	4	0.086388	0.86909	0.52259	0.98155	0.3848	0.84789	0.047041	0.46736	0.82318	0.99803	0.64024	0.87603
C19orf35	4	-0.024523	-0.25046	0.88212	0.99607	0.80223	0.98388	-0.092202	-0.92979	0.6444	0.99803	0.35248	0.70256
C19orf38	4	-0.0024329	-0.019768	0.99018	0.99607	0.98423	0.99667	-0.23237	-1.8647	0.20236	0.98095	0.062221	0.28705
C19orf40	4	0.13629	1.2731	0.28684	0.90123	0.20299	0.75437	-0.02234	-0.20611	0.9057	0.99803	0.8367	0.96363
C19orf45	4	0.11656	0.70335	0.37917	0.95378	0.48184	0.89637	0.24704	1.4719	0.16699	0.91398	0.14104	0.45151
C19orf55	4	0.29052	1.8205	0.011788	0.28571	0.068677	0.65362	0.046682	0.28858	0.82515	0.99803	0.7729	0.95301
C19orf59	4	-0.099422	-0.74935	0.47544	0.96813	0.45365	0.87785	-0.11799	-0.87819	0.54224	0.99803	0.37984	0.71607
C19orf70	4	-0.12263	-1.6144	0.38114	0.95378	0.10644	0.6985	0.18232	2.3707	0.30452	0.99803	0.017756	0.15582
C19orf80	4	0.13402	0.79956	0.30452	0.93373	0.42396	0.86319	-0.065327	-0.38473	0.7387	0.99803	0.70044	0.91887
C19orf81	4	-0.1231	-1.209	0.38114	0.95378	0.22668	0.7742	-0.0038846	-0.037678	0.99804	0.99804	0.96994	0.98001
C1orf101	4	-0.39252	-3.2246	0.021611	0.36667	0.0012616	0.049395	-0.012422	-0.10079	0.95678	0.99803	0.91972	0.97449
C1orf109	4	0.24284	1.7956	0.039293	0.5122	0.07256	0.65362	-0.15121	-1.1042	0.39293	0.99803	0.2695	0.61434
C1orf112	4	-0.010196	-0.093943	0.96857	0.99607	0.92515	0.99667	-0.24012	-2.1837	0.18861	0.94118	0.028983	0.1967
C1orf158	4	-0.14139	-1.581	0.31827	0.94737	0.11388	0.6985	0.20457	2.2585	0.2554	0.99803	0.023913	0.1764
C1orf162	4	-0.016103	-0.14674	0.92731	0.99607	0.88333	0.99303	-0.22881	-2.0584	0.21022	0.98165	0.039552	0.2314
C1orf168	4	-0.20588	-1.6792	0.16306	0.83838	0.093105	0.69692	0.23545	1.8968	0.1945	0.96117	0.057857	0.27782
C1orf172	4	-0.0034419	-0.032315	0.99214	0.99607	0.97422	0.99667	-0.020312	-0.18837	0.91552	0.99803	0.85059	0.96589
C1orf173	4	-0.0021394	-0.024182	0.98821	0.99607	0.98071	0.99667	-0.15265	-1.7045	0.39096	0.99803	0.088281	0.35948
C1orf174	4	0.12761	1.0483	0.33792	0.95378	0.29448	0.79386	-0.075604	-0.61289	0.69941	0.99803	0.53995	0.8234
C1orf177	4	0.1082	0.99324	0.41847	0.95378	0.32059	0.80386	-0.25183	-2.2825	0.17289	0.91919	0.022462	0.17323
C1orf186	4	0.02325	0.27271	0.86248	0.99607	0.78508	0.9825	-0.17183	-1.9897	0.33988	0.99803	0.046626	0.24467
C1orf189	4	0.091403	0.81238	0.49705	0.96947	0.41658	0.86164	-0.055107	-0.48369	0.7721	0.99803	0.6286	0.87182
C1orf192	4	-0.061258	-0.85321	0.66208	0.99607	0.39354	0.84797	-0.0080329	-0.11051	0.98625	0.99803	0.912	0.97449
C1orf21	4	-0.19943	-2.3402	0.17682	0.85714	0.019272	0.47174	0.31135	3.6077	0.086444	0.67692	0.0003089	0.0046244
C1orf210	4	-0.097755	-0.76574	0.4833	0.96947	0.44383	0.87608	0.18046	1.3964	0.31238	0.99803	0.1626	0.49115
C1orf216	4	0.0040814	0.042572	0.96071	0.99607	0.96604	0.99667	-0.087364	-0.89993	0.65619	0.99803	0.36816	0.71239
C1orf227	4	-0.043514	-0.42943	0.75639	0.99607	0.66761	0.95918	0.058513	0.57035	0.77014	0.99803	0.56844	0.82904
C1orf228	4	-0.2696	-2.0413	0.094303	0.75581	0.041224	0.59952	0.39317	2.9401	0.043222	0.43137	0.0032814	0.037116
C1orf233	4	0.2247	1.5318	0.058939	0.56604	0.12556	0.6985	-0.024429	-0.1644	0.89587	0.99803	0.86942	0.96954
C1orf50	4	-0.0031266	-0.029921	0.99214	0.99607	0.97613	0.99667	-0.045151	-0.42678	0.79764	0.99803	0.66954	0.89439
C1orf51	4	0.0046572	0.040053	0.96071	0.99607	0.96805	0.99667	0.15921	1.3521	0.38703	0.99803	0.17634	0.52488
C1orf52	4	-0.0067989	-0.046089	0.99018	0.99607	0.96324	0.99667	0.014483	0.096966	0.94499	0.99803	0.92275	0.97449
C1orf56	4	-0.093921	-1.0885	0.49509	0.96947	0.27638	0.79386	-0.13318	-1.5246	0.46365	0.99803	0.12735	0.4333
C1orf61	4	0.050837	0.37692	0.70923	0.99607	0.70623	0.98216	0.11586	0.84835	0.51866	0.99803	0.39624	0.72483
C1orf63	4	0.16975	1.5941	0.19057	0.86207	0.11091	0.6985	-0.24483	-2.27	0.17878	0.91919	0.02321	0.1748
C1orf74	4	0.065444	0.44309	0.63654	0.99607	0.6577	0.95918	0.21176	1.4154	0.23772	0.99803	0.15694	0.47834
C1orf85	4	0.25537	1.6397	0.027505	0.4375	0.10106	0.6985	-0.00094941	-0.0060183	0.99411	0.99803	0.9952	0.99634
C1orf94	4	-0.013648	-0.11947	0.94695	0.99607	0.9049	0.99667	-0.0092352	-0.079849	0.98035	0.99803	0.93636	0.97449
C1orf95	4	0.14515	1.4655	0.25933	0.89933	0.14278	0.6985	-0.045379	-0.45248	0.79764	0.99803	0.65093	0.88589
C20orf112	4	-0.1847	-1.3849	0.21415	0.88618	0.16609	0.6985	0.31047	2.2984	0.086444	0.67692	0.021536	0.17323
C20orf194	4	-0.057437	-0.5308	0.6778	0.99607	0.59556	0.9436	-0.024389	-0.22266	0.89784	0.99803	0.8238	0.96173
C20orf78	4	-0.12884	-1.113	0.36346	0.95378	0.26572	0.79386	0.17567	1.499	0.32613	0.99803	0.13388	0.44251
C20orf96	4	0.10675	0.98113	0.4224	0.95378	0.32653	0.80666	-0.070685	-0.6417	0.71513	0.99803	0.52107	0.80861
C21orf2	4	-0.12816	-1.3056	0.36739	0.95378	0.19168	0.75437	-0.086152	-0.86665	0.66208	0.99803	0.38613	0.71993
C21orf58	4	0.19652	1.2382	0.11395	0.75581	0.21565	0.76127	0.07153	0.4449	0.71513	0.99803	0.65639	0.88931
C21orf59	4	0.096501	0.80968	0.46562	0.96813	0.41812	0.86164	-0.14113	-1.1693	0.42436	0.99803	0.2423	0.6059
C21orf91	4	-0.037136	-0.30489	0.80943	0.99607	0.76045	0.9825	-0.12256	-0.99395	0.52063	0.99803	0.32025	0.66881
C22orf15	4	0.28708	2.3365	0.013752	0.29167	0.019463	0.47174	-0.19735	-1.5854	0.26523	0.99803	0.11287	0.40757
C22orf23	4	-0.03094	-0.28396	0.83497	0.99607	0.77644	0.9825	0.012744	0.11552	0.95088	0.99803	0.90803	0.97449
C22orf26	4	0.15922	1.5786	0.222	0.88971	0.11444	0.6985	-0.17258	-1.6899	0.33988	0.99803	0.091055	0.36691
C22orf31	4	-0.15613	-1.7389	0.27505	0.90123	0.082056	0.68123	0.13471	1.482	0.4558	0.99803	0.13835	0.4457
C22orf43	4	-0.049576	-0.47603	0.72888	0.99607	0.63405	0.95918	-0.13808	-1.3094	0.44401	0.99803	0.19038	0.54033
C2CD2	4	-0.07993	-0.85688	0.5501	0.99607	0.39151	0.84797	0.20555	2.1762	0.25344	0.99803	0.029544	0.19787
C2CD4B	4	0.22517	1.7681	0.058939	0.56604	0.077049	0.66471	-0.054734	-0.42445	0.77407	0.99803	0.67124	0.89439
C2orf15	4	0.040989	0.34276	0.76817	0.99607	0.73178	0.9825	0.1992	1.6442	0.26916	0.99803	0.10013	0.37753
C2orf42	4	0.125	0.91344	0.34774	0.95378	0.36101	0.82401	-0.0095636	-0.069029	0.98035	0.99803	0.94497	0.97449
C2orf49	4	0.24737	1.2739	0.035363	0.48649	0.20269	0.75437	0.14622	0.74365	0.42633	0.99803	0.45709	0.76647
C2orf53	4	-0.076095	-0.71461	0.57564	0.99607	0.47485	0.89188	0.027024	0.25065	0.89784	0.99803	0.80209	0.95943
C2orf73	4	0.044337	0.40654	0.7446	0.99607	0.68434	0.96212	0.020592	0.18653	0.92534	0.99803	0.85203	0.96589
C2orf78	4	-0.1449	-1.1244	0.30648	0.93413	0.26082	0.79023	0.31101	2.3831	0.086444	0.67692	0.017166	0.15329
C2orf82	4	0.30166	1.9817	0.0078585	0.22222	0.047515	0.63646	-0.12266	-0.79579	0.51866	0.99803	0.42615	0.75317
C3orf20	4	-0.13902	-1.1853	0.33202	0.95378	0.23588	0.78038	-0.056148	-0.47284	0.76621	0.99803	0.63632	0.87503
C3orf30	4	-0.015434	-0.15395	0.9332	0.99607	0.87765	0.99272	-0.11073	-1.0907	0.57564	0.99803	0.27539	0.62023
C3orf33	4	-0.10838	-1.0548	0.43222	0.95378	0.29154	0.79386	0.0073602	0.070748	0.97053	0.99803	0.9436	0.97449
C3orf67	4	-0.17273	-1.4936	0.23772	0.88971	0.13528	0.6985	0.20413	1.7436	0.25737	0.99803	0.08123	0.33615
C3orf72	4	-0.087372	-0.88857	0.52456	0.98162	0.37423	0.83546	0.069185	0.6948	0.72102	0.99803	0.48718	0.79472
C4orf21	4	-0.076441	-0.81238	0.57171	0.99607	0.41657	0.86164	0.059848	0.62812	0.76817	0.99803	0.52993	0.81245
C4orf27	4	-0.25068	-2.4494	0.11198	0.75581	0.014308	0.43832	0.10185	0.98307	0.56582	0.99803	0.32557	0.67092
C4orf33	4	0.039907	0.48035	0.77407	0.99607	0.63098	0.95918	0.098263	1.1679	0.57957	0.99803	0.24284	0.6059
C4orf36	4	0.23015	1.9428	0.05501	0.56604	0.05204	0.65362	-0.21872	-1.8234	0.22397	0.99803	0.068246	0.29946
C4orf6	4	-0.19141	-1.8744	0.19843	0.86325	0.060878	0.65362	0.13883	1.343	0.44597	0.99803	0.17929	0.53056
C5orf34	4	-0.10707	-1.132	0.44008	0.95378	0.25762	0.78697	0.088416	0.92343	0.62279	0.99803	0.35578	0.70256
C5orf45	4	0.06679	0.61934	0.63065	0.99607	0.53569	0.92013	0.074684	0.68395	0.68959	0.99803	0.49401	0.79472
C5orf46	4	0.16119	1.6567	0.21218	0.88618	0.09758	0.6985	-0.030405	-0.3086	0.87623	0.99803	0.75762	0.94599
C5orf48	4	-0.092233	-0.58751	0.49902	0.96947	0.55686	0.92932	0.32782	2.0605	0.08055	0.67692	0.039351	0.2314
C5orf54	4	0.094534	0.66709	0.47741	0.96813	0.50472	0.90717	-0.039773	-0.27723	0.8389	0.99803	0.7816	0.95301
C6orf10	4	0.21173	1.4998	0.090373	0.7541	0.13367	0.6985	-0.04637	-0.32437	0.79175	0.99803	0.74566	0.94179
C6orf106	4	-0.025077	-0.27898	0.88016	0.99607	0.78026	0.9825	-0.052432	-0.57608	0.77603	0.99803	0.56456	0.82904
C6orf118	4	-0.05838	-0.48629	0.67191	0.99607	0.62676	0.95918	-0.0048151	-0.039614	0.99607	0.99803	0.9684	0.98001
C6orf132	4	-0.08786	-0.91699	0.52259	0.98155	0.35915	0.82401	0.020098	0.20711	0.92534	0.99803	0.83593	0.96363
C6orf201	4	0.25244	1.5204	0.02947	0.45455	0.1284	0.6985	-0.073506	-0.4369	0.70138	0.99803	0.66218	0.88931
C6orf211	4	0.16452	1.4632	0.19646	0.86207	0.1434	0.6985	-0.28522	-2.5044	0.1336	0.86667	0.012266	0.11562
C6orf223	4	-0.11416	-1.0519	0.41061	0.95378	0.29285	0.79386	0.10215	0.92952	0.56582	0.99803	0.35262	0.70256
C6orf48	4	-0.14112	-1.3874	0.32024	0.94767	0.16532	0.6985	0.19407	1.8846	0.27701	0.99803	0.059481	0.28295
C6orf52	4	0.013908	0.12053	0.91945	0.99607	0.90406	0.99667	0.097123	0.831	0.58743	0.99803	0.40597	0.73018
C6orf57	4	0.07236	0.47611	0.59332	0.99607	0.634	0.95918	0.1285	0.8348	0.48134	0.99803	0.40383	0.7289
C6orf62	4	0.10036	0.96806	0.45383	0.9625	0.33301	0.81103	0.046454	0.4424	0.82515	0.99803	0.6582	0.88931
C6orf99	4	0.018545	0.17532	0.88802	0.99607	0.86083	0.99131	-0.077091	-0.71985	0.68959	0.99803	0.47162	0.78193
C7orf10	4	0.1112	1.2729	0.40668	0.95378	0.20304	0.75437	-0.093992	-1.0626	0.64244	0.99803	0.28797	0.63181
C7orf25	4	0.24851	1.4861	0.035363	0.48649	0.13725	0.6985	0.058048	0.34275	0.7721	0.99803	0.73179	0.93044
C7orf29	4	0.1382	1.1529	0.27898	0.90123	0.24895	0.78218	0.032253	0.26572	0.87426	0.99803	0.79045	0.95301
C7orf43	4	0.043056	0.4476	0.75442	0.99607	0.65444	0.95918	0.12726	1.3063	0.48723	0.99803	0.19145	0.54033
C7orf49	4	-0.075992	-0.75202	0.5776	0.99607	0.45204	0.87785	0.062641	0.61219	0.75639	0.99803	0.54041	0.8234
C7orf50	4	0.074808	0.52293	0.58743	0.99607	0.60102	0.9436	0.098207	0.67754	0.58153	0.99803	0.49806	0.79472
C7orf55	4	0.028679	0.22693	0.83497	0.99607	0.82048	0.98388	0.12316	0.96258	0.49312	0.99803	0.33576	0.68635
C8orf22	4	0.087406	0.67047	0.51081	0.97744	0.50256	0.9071	-0.26602	-2.0154	0.14931	0.86667	0.04386	0.24033
C8orf34	4	-0.19074	-2.0241	0.20039	0.86441	0.042957	0.60737	0.075624	0.7927	0.68566	0.99803	0.42795	0.75372
C8orf37	4	-0.19175	-1.8952	0.19646	0.86207	0.05806	0.65362	-0.057831	-0.56449	0.76424	0.99803	0.57242	0.83246
C8orf42	4	-0.1119	-1.2865	0.4224	0.95378	0.19825	0.75437	0.18849	2.1396	0.27898	0.99803	0.032384	0.21168
C8orf44	4	0.13929	1.2329	0.27505	0.90123	0.21762	0.76127	0.031178	0.27256	0.88605	0.99803	0.78519	0.95301
C8orf46	4	-0.24358	-2.1059	0.11395	0.75581	0.035214	0.59761	0.18282	1.5613	0.30059	0.99803	0.11846	0.41871
C8orf47	4	0.029434	0.20419	0.83104	0.99607	0.8382	0.99131	0.23891	1.6365	0.18468	0.94	0.10173	0.38073
C8orf74	4	0.095592	0.78447	0.46955	0.96813	0.43277	0.87187	0.0042843	0.03471	0.98035	0.99803	0.97231	0.98001
C8orf76	4	0.089888	0.69691	0.50295	0.97338	0.48586	0.89928	-0.034134	-0.2613	0.86444	0.99803	0.79386	0.95301
C9orf116	4	0.070105	0.61811	0.6169	0.99607	0.5365	0.92013	-0.13097	-1.1403	0.47348	0.99803	0.25416	0.6101
C9orf117	4	0.14854	0.93364	0.24754	0.89933	0.35049	0.81834	0.10403	0.64563	0.56189	0.99803	0.51852	0.80763
C9orf123	4	0.1043	0.95534	0.43811	0.95378	0.33941	0.81107	-0.071412	-0.64596	0.70923	0.99803	0.5183	0.80763
C9orf135	4	0.077204	0.70225	0.57171	0.99607	0.48252	0.89637	-0.024788	-0.2227	0.89587	0.99803	0.82377	0.96173
