sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
ABT1_m26597359	ABT1	351.90890280956404	382.50935150724837	609.2699266224533	273.2031634940917
ABT1_m26597388	ABT1	1710.5080275907499	1921.1618330206395	860.1076517319101	286.6011864372988
ABT1_p26597221	ABT1	1567.7253170245742	1421.4874549255853	1094.7413894311953	1010.676948107141
ABT1_p26597240	ABT1	116.82221773596183	367.0022156353329	190.55889194361836	131.0676157487647
ABT1_p26597266	ABT1	967.749482726301	723.6663406893889	337.0429381315699	307.5720049571011
ABT1_p26597293	ABT1	513.4408581975606	673.6989028798835	346.117171081266	608.7362598109294
ABT1_p26597300	ABT1	1533.1113265842891	740.8964916581838	433.6187030961928	224.2712536145529
ABT1_p26597313	ABT1	30.287241635249362	174.02452478482923	245.00428964179505	188.15484394155996
ABT1_p26597361	ABT1	333.159657987743	434.19980441363333	318.8944722321777	209.7081851980235
ABTB1_m127395233	ABTB1	586.9955878831662	530.6886498388851	495.8420147512519	320.387505163647
ABTB1_m127395403	ABTB1	830.7357705668396	1511.084239963319	495.8420147512519	1271.0646113946868
ABTB1_m127395808	ABTB1	1162.4531789529042	630.623525457896	912.6085709408662	927.3761967645928
ABTB1_m127395813	ABTB1	483.15361656231124	342.88000427901994	886.6821910845916	745.0465801896446
ABTB1_m127395855	ABTB1	549.4970982395241	861.5075484397487	1144.0015111581172	773.007671549381
ABTB1_m127395860	ABTB1	927.366493879302	1069.9923751621677	910.0159329552388	1195.919178365395
ABTB1_p127395220	ABTB1	640.3588231452723	1080.3304657434448	836.773909861263	301.7467775904894
ABTB1_p127395242	ABTB1	826.4090217618041	1381.858107697357	876.9597986384887	964.0751291742469
ABTB1_p127395252	ABTB1	516.3253574009177	387.6783967978869	422.5999916572761	785.2406490192658
ABTB1_p127395834	ABTB1	493.24936377406107	835.6623219865562	425.19262964290357	839.9977862654164
ACAD11_m132378487	ACAD11	536.5168518244172	696.0980991393169	849.0889402929935	703.1049431500398
ACAD11_m132378519	ACAD11	393.7341412582417	427.3077440261153	466.0266779165361	372.2320287264917
ACAD11_m132378564	ACAD11	970.6339819296581	1499.0231342851625	1074.0002855461757	1513.9765925823974
ACAD11_m132378578	ACAD11	516.3253574009177	575.4870423577521	511.39784266501664	471.8434166955529
ACAD11_p132378460	ACAD11	1590.8013106514309	1080.3304657434448	838.7183883504836	968.7353110675363
ACAD11_p132378489	ACAD11	735.5472968560559	1283.6462471752254	871.7745226672337	886.5996051983104
ACAD11_p132378501	ACAD11	1045.6309612169423	720.2203104956299	928.164398854631	881.3569005683598
ACAD11_p132378525	ACAD11	803.3330281349474	1116.5137827779142	738.2536664074195	1179.6085417388822
ACAD11_p132378547	ACAD11	50.478736058748936	451.42995538242826	257.9674795699324	145.6306841652941
ACAD11_p132378566	ACAD11	666.319315975486	754.6806124332198	462.1377209380949	638.4449193806493
ACAD9_m128598565	ACAD9	725.4515496443062	897.6908654742181	2597.1751021023088	2087.761488193656
ACAD9_m128598607	ACAD9	131.24471375274723	208.48482672241917	211.29999582863806	277.28082265072
ACAD9_m128598614	ACAD9	663.4348167721289	937.3202127024465	1771.4199036799625	537.6684859382658
ACAD9_m128598631	ACAD9	392.29189165656317	590.9941782296676	289.07913539746187	407.1833929261623
ACAD9_m128598636	ACAD9	559.592845451274	511.7354837732107	316.9499937429571	147.3782523752776
ACAD9_p128598519	ACAD9	624.4940775268083	732.2814161737864	596.9548961907228	228.9314355078423
ACAD9_p128598525	ACAD9	563.9195942563096	515.1815139669696	278.708583454952	946.0169243377504
ACAD9_p128598545	ACAD9	813.4287753466972	1066.546344968409	694.8269801481595	411.2610520827905
ACAD9_p128598551	ACAD9	1137.9349357243689	1295.707352853382	1151.1312656185926	1281.550020654588
ACAD9_p128598592	ACAD9	904.2905002524453	751.2345822394608	512.6941616578304	478.2511667988258
ACAT2_m160183168	ACAT2	646.1278215519865	253.2832192412861	368.15459395909943	360.5815739932682
ACAT2_m160183956	ACAT2	781.6992841097692	994.1797108994699	1483.6370872753146	828.3473315321928
ACAT2_m160183968	ACAT2	1782.620507674677	2761.993200297834	1863.4585521697375	1795.3350743897456
ACAT2_p160183107	ACAT2	1996.073448723101	2181.3371126494435	1129.7420022371662	1781.3545287098773
ACAT2_p160183121	ACAT2	1636.9532979051442	1869.4713801142545	2310.0404451940676	1533.7823656288774
ACAT2_p160183133	ACAT2	510.55635899420355	651.29970662045	677.974833241581	752.6193757662398
ACAT2_p160183141	ACAT2	1220.1431630200457	818.4321710177612	630.6591900038799	1169.123132478981
ACAT2_p160183152	ACAT2	2144.6251576959908	1821.2269574016286	2181.0567054091016	2885.8176374194677
ACAT2_p160183940	ACAT2	21.633744025178117	0.0	26.574539352681473	22.71838672978588
ACAT2_p160183972	ACAT2	135.57146255778287	268.7903551132016	453.71164748480567	685.6292610502046
ACBD6_m180471277	ACBD6	1153.7996813428329	503.1204082888132	856.218694753469	481.7463032187929
ACBD6_m180471338	ACBD6	1101.8786956824054	790.8639294676892	448.5263715135507	583.6877821344988
ACBD6_m180471378	ACBD6	581.2265894764521	559.9799064858366	804.3659350409197	503.2996444752564
ACBD6_p180471251	ACBD6	478.82686775727564	198.14673614114218	580.7509087805512	354.7563466266564
ACBD6_p180471256	ACBD6	105.2842209225335	277.40543059759904	568.4358783488208	700.192329466734
ACBD6_p180471263	ACBD6	349.02440360620693	277.40543059759904	285.83833791542753	216.11593530129645
ACBD6_p180471279	ACBD6	777.3725353047337	1206.110567815648	700.6604156158213	470.6783712222305
ACBD6_p180471286	ACBD6	709.5868040258422	976.9495599306749	960.5723736749742	436.3095297592211
ACBD6_p180471344	ACBD6	1021.1127179884071	1254.3549905282741	1430.4880085699515	1734.1701870403222
ACBD6_p180471350	ACBD6	595.6490854932375	522.0735743544876	775.1987577026108	845.240490895367
ACD_m67694254	ACD	1152.3574317411544	906.3059409586156	1689.1036476362908	1863.4902345791031
ACD_m67694260	ACD	1166.7799277579397	1604.1270551948119	1356.5978259795688	994.9488342172892
ACD_m67694316	ACD	274.0274243189228	437.6458346073923	420.0073536716487	392.6203245096329
ACD_m67694376	ACD	1820.1189973183189	1378.4120775035979	1113.5380148269944	1205.2395421519739
