id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
C19orf25	10	0.0018676	0.010936	0.179273	61	3	-0.052353	0.71042	0.87446	0.999995	829	3	-0.052353
ACLY	10	0.0019642	0.01145	0.183325	62	7	-0.72933	0.99001	0.99011	0.999995	974	1	-0.72933
BRIP1	10	0.0019853	0.01155	0.183325	63	6	-0.70508	0.18349	0.43062	0.982282	435	3	-0.70508
C15orf43	10	0.0020193	0.011748	0.183555	64	8	-0.32884	0.775	0.90925	0.999995	873	1	-0.32884
ANLN	10	0.0020804	0.012025	0.184996	65	6	-0.5924	0.89145	0.95044	0.999995	921	2	-0.5924
ATP5A1	10	0.0021841	0.012649	0.191644	66	5	-0.42256	0.99696	0.99679	0.999995	985	0	-0.42256
BAG6	10	0.002304	0.013243	0.19765	67	8	-0.65425	0.98279	0.98492	0.999995	960	1	-0.65425
C19orf71	10	0.0026715	0.014995	0.220515	68	7	-0.41973	0.70344	0.87068	0.999995	825	2	-0.41973
C10orf88	10	0.003035	0.016767	0.243005	69	8	-0.43934	0.70075	0.8693	0.999995	822	1	-0.43934
BRF2	10	0.0031407	0.017272	0.244981	70	5	-0.35029	0.34963	0.62978	0.999995	589	4	-0.35029
ATRIP	10	0.0032004	0.017599	0.244981	71	6	-0.46562	0.46372	0.72539	0.999995	677	2	-0.46562
CCAR1	10	0.0032101	0.017639	0.244981	72	7	-0.51633	0.90813	0.95762	0.999995	926	2	-0.51633
ABT1	10	0.0034627	0.018975	0.2595	73	7	-0.52064	0.77211	0.90773	0.999995	872	2	-0.52064
ANAPC10	10	0.0034976	0.019203	0.2595	74	4	-0.10919	0.53755	0.78495	0.999995	734	3	-0.10919
BCLAF1	10	0.0035958	0.019748	0.2633	75	6	-0.36325	0.83875	0.9309	0.999995	895	1	-0.36325
BRIX1	10	0.0037711	0.02055	0.270388	76	7	-0.33314	0.1913	0.44158	0.982282	449	2	-0.33314
C20orf112	10	0.0039585	0.021421	0.278192	77	7	-0.49258	0.75034	0.89586	0.999995	858	1	-0.49258
ARGLU1	10	0.0049751	0.025955	0.331683	78	5	-0.40357	0.64953	0.84292	0.999995	793	1	-0.40357
AURKB	10	0.0050289	0.026203	0.331683	79	5	-0.44152	0.56517	0.80067	0.999995	755	2	-0.44152
BOP1	10	0.0050983	0.02654	0.331745	80	3	-0.17092	0.045685	0.16591	0.810456	204	2	-0.17092
C2orf69	10	0.0054913	0.028104	0.346962	81	4	0.069212	0.29577	0.58097	0.999995	553	5	0.069212
C16orf93	10	0.0057725	0.029243	0.356617	82	6	-0.42173	0.66762	0.85239	0.999995	801	2	-0.42173
ATF4	10	0.006048	0.0305	0.36747	83	7	-0.32877	0.99414	0.99399	0.999995	981	0	-0.32877
BAZ2A	10	0.0061807	0.031035	0.36946	84	5	-0.24714	0.85274	0.93544	0.999995	903	2	-0.24714
C6orf106	10	0.0063909	0.031847	0.37169	85	6	-0.35876	0.70377	0.87085	0.999995	826	1	-0.35876
C2orf81	10	0.0064265	0.031965	0.37169	86	5	-0.22771	0.39595	0.66991	0.999995	634	3	-0.22771
C16orf59	10	0.0069706	0.03451	0.396666	87	5	-0.45586	0.74539	0.89329	0.999995	855	2	-0.45586
AKIRIN2	10	0.0073894	0.036094	0.408086	88	6	-0.41249	0.40688	0.67837	0.999995	643	2	-0.41249
C18orf25	10	0.0074814	0.036351	0.408086	89	3	0.14623	0.12048	0.33417	0.944193	350	6	0.14623
C17orf50	10	0.0075871	0.036728	0.408086	90	7	-0.32494	0.96145	0.97679	0.999995	949	1	-0.32494
ASPM	10	0.0080902	0.039104	0.426873	91	7	-0.71098	0.9614	0.97675	0.999995	948	1	-0.71098
ANAPC5	10	0.0081411	0.039272	0.426873	92	5	-0.35166	0.99077	0.99075	0.999995	975	0	-0.35166
APRT	10	0.0085281	0.040649	0.437081	93	7	-0.3004	0.80332	0.9197	0.999995	881	1	-0.3004
C20orf24	10	0.009288	0.043748	0.465399	94	7	-0.34754	0.8774	0.94489	0.999995	918	1	-0.34754
C17orf82	9	0.0096084	0.045787	0.48025	95	6	-0.41054	0.4477	0.70971	0.999995	667	2	-0.41054
C19orf53	10	0.0098802	0.046104	0.48025	96	7	-0.28216	0.62498	0.82995	0.999995	782	3	-0.28216
BUD13	10	0.010185	0.047114	0.483178	97	6	-0.47706	0.1839	0.43115	0.982282	436	2	-0.47706
ARFGEF1	10	0.010261	0.047351	0.483178	98	6	-0.71754	0.99763	0.99751	0.999995	987	0	-0.71754
ALMS1	10	0.01046	0.048203	0.486899	99	3	-0.059403	0.13117	0.35216	0.946155	371	4	-0.059403
C19orf54	10	0.011043	0.050748	0.505294	100	5	-0.20967	0.27306	0.55234	0.999995	527	4	-0.20967
C17orf104	10	0.011132	0.051035	0.505294	101	7	-0.41203	0.55084	0.79369	0.999995	745	1	-0.41203
ABCF1	10	0.011831	0.053649	0.525966	102	3	-0.012513	0.031956	0.12725	0.746598	170	4	-0.012513
C11orf21	10	0.012068	0.05445	0.528646	103	6	-0.38658	0.69392	0.86579	0.999995	818	2	-0.38658
ANKRD17	10	0.012441	0.055965	0.538128	104	5	-0.22077	0.97859	0.98289	0.999995	957	1	-0.22077
ARID5A	10	0.01343	0.060025	0.571664	105	3	0.15174	0.1691	0.4094	0.977091	419	5	0.15174
C11orf57	10	0.014484	0.064045	0.604194	106	3	0.1328	0.20394	0.4595	0.982282	467	4	0.1328
AIFM1	10	0.014759	0.065233	0.606298	107	6	-0.25908	0.00050034	0.0035099	0.250707	14	3	-0.25908
C20orf194	10	0.014832	0.06548	0.606298	108	6	-0.18387	0.60435	0.8196	0.999995	773	3	-0.18387
CAMTA2	10	0.015148	0.066629	0.611273	109	7	-0.26123	0.39489	0.66902	0.999995	632	2	-0.26123
C10orf2	10	0.016129	0.07053	0.639863	110	5	-0.18005	0.066377	0.21617	0.882932	244	2	-0.18005
ACTR3	10	0.01626	0.071025	0.639863	111	5	-0.2664	0.75658	0.89934	0.999995	862	1	-0.2664
C22orf28	10	0.01693	0.073698	0.643523	112	5	-0.25495	0.36276	0.64122	0.999995	602	3	-0.25495
C22orf46	10	0.016972	0.073886	0.643523	113	6	-0.3565	0.92447	0.96549	0.999995	934	1	-0.3565
C19orf43	10	0.017108	0.074559	0.643523	114	7	-0.23947	0.49808	0.75286	0.999995	705	1	-0.23947
ADIRF	10	0.017169	0.074817	0.643523	115	7	-0.31563	0.54142	0.78795	0.999995	737	2	-0.31563
ANKRD49	10	0.017374	0.07546	0.643523	116	3	0.41869	0.0036278	0.020035	0.477016	42	7	0.41869
C6orf223	10	0.01751	0.075975	0.643523	117	7	-0.30778	0.72795	0.88396	0.999995	844	2	-0.30778
CBX4	10	0.017658	0.07646	0.643523	118	4	0.10386	0.24166	0.51054	0.999995	508	5	0.10386
C19orf38	10	0.017698	0.076649	0.643523	119	7	-0.20482	0.15727	0.39219	0.975794	397	3	-0.20482
C6orf15	10	0.017865	0.077223	0.643523	120	6	-0.24789	0.74519	0.8932	0.999995	854	3	-0.24789
BORA	10	0.018423	0.079312	0.650447	121	4	0.204	0.3539	0.63371	0.999995	595	3	0.204
C8orf22	10	0.018466	0.07949	0.650447	122	7	-0.35341	0.99789	0.9977	0.999995	989	0	-0.35341
AGBL5	10	0.01863	0.080005	0.650447	123	7	-0.2907	0.64166	0.83855	0.999995	789	1	-0.2907
C1orf186	10	0.019135	0.081658	0.658536	124	5	-0.11619	0.43225	0.6991	0.999995	656	3	-0.11619
C1orf177	10	0.020116	0.085193	0.678842	125	7	-0.32731	0.85693	0.9369	0.999995	904	2	-0.32731
ANP32B	10	0.02033	0.086035	0.678842	126	3	0.042642	0.17152	0.41323	0.982282	420	4	0.042642
BAIAP2	10	0.02036	0.086213	0.678842	127	7	-0.22247	0.84541	0.93312	0.999995	898	1	-0.22247
C10orf107	10	0.020994	0.088569	0.691948	128	6	-0.35237	0.8288	0.92766	0.999995	889	1	-0.35237
C22orf39	10	0.021398	0.090114	0.698557	129	7	-0.33442	0.95778	0.97581	0.999995	943	1	-0.33442
C6orf132	10	0.021774	0.091252	0.700438	130	5	-0.31579	0.37597	0.65292	0.999995	611	4	-0.31579
C17orf58	10	0.02192	0.091757	0.700438	131	5	-0.33241	0.70469	0.87133	0.999995	828	2	-0.33241
C6orf136	10	0.022276	0.092767	0.702783	132	6	-0.31468	0.29008	0.57382	0.999995	546	2	-0.31468
CASC5	10	0.023575	0.096777	0.724804	133	5	-0.1	0.1875	0.43634	0.982282	442	5	-0.1
ASUN	10	0.023672	0.097124	0.724804	134	5	-0.55572	0.065543	0.21399	0.882932	241	3	-0.55572
CABYR	10	0.024543	0.09947	0.73627	135	6	-0.28909	0.33456	0.61588	0.999995	579	4	-0.28909
C10orf95	10	0.025232	0.1016	0.73627	136	4	-0.026642	0.19674	0.4494	0.982282	455	4	-0.026642
BUB1B	10	0.025377	0.10197	0.73627	137	6	-0.25974	0.18015	0.42558	0.982282	428	2	-0.25974
ANKRD11	10	0.025487	0.10225	0.73627	138	6	-0.3289	0.82716	0.92711	0.999995	887	2	-0.3289
C19orf40	10	0.025515	0.10234	0.73627	139	5	-0.25784	0.66208	0.84954	0.999995	799	3	-0.25784
ATR	10	0.026275	0.1044	0.745721	140	4	-0.18401	0.10344	0.29872	0.928561	319	2	-0.18401
AKT1S1	10	0.027186	0.10699	0.75876	141	4	0.19071	0.12038	0.33401	0.944193	349	5	0.19071
C8orf76	10	0.027555	0.10807	0.761086	142	6	-0.5713	0.031085	0.12434	0.74456	167	2	-0.5713
C17orf89	10	0.028254	0.11006	0.768736	143	4	-0.17581	0.61994	0.82752	0.999995	778	3	-0.17581
ARID3C	10	0.028463	0.1107	0.768736	144	6	-0.22607	0.85103	0.93491	0.999995	900	2	-0.22607
APBA1	10	0.028822	0.1118	0.771014	145	6	-0.31702	0.41989	0.68885	0.999995	651	1	-0.31702
C1orf61	10	0.030132	0.11586	0.785598	146	3	-0.077496	0.024253	0.10099	0.686974	147	3	-0.077496
C6orf165	10	0.030721	0.11731	0.785598	147	4	0.029981	0.46755	0.72831	0.999995	679	4	0.029981
C14orf93	10	0.030859	0.1177	0.785598	148	4	-0.11663	0.10306	0.29783	0.928561	318	2	-0.11663
ACAD9	10	0.03088	0.11778	0.785598	149	5	-0.24867	0.032057	0.12767	0.746598	171	3	-0.24867
BCCIP	10	0.031085	0.11823	0.785598	150	4	0.22735	0.12253	0.33838	0.944193	357	5	0.22735
C12orf73	10	0.031252	0.11876	0.785598	151	5	-0.20863	0.49438	0.74996	0.999995	702	3	-0.20863
BRCA1	10	0.031532	0.11941	0.785598	152	4	0.12979	0.17365	0.41617	0.982282	422	3	0.12979
ANAPC13	10	0.032057	0.12105	0.787384	153	5	-0.12949	0.05049	0.17751	0.826088	214	4	-0.12949
C19orf45	10	0.032315	0.12172	0.787384	154	6	-0.2694	0.98421	0.98579	0.999995	961	1	-0.2694
C7orf41	10	0.032483	0.12204	0.787384	155	6	-0.32149	0.22743	0.49138	0.99512	493	2	-0.32149
C1orf158	10	0.033071	0.12373	0.78744	156	5	0.015775	0.056823	0.19337	0.853993	225	5	0.015775
C11orf65	10	0.033079	0.12376	0.78744	157	6	-0.35161	0.15211	0.38421	0.975794	391	2	-0.35161
C2orf49	10	0.033598	0.12516	0.78744	158	6	-0.23555	0.28634	0.56957	0.999995	541	3	-0.23555
C15orf41	10	0.033615	0.1252	0.78744	159	4	0.056902	0.84033	0.93149	0.999995	896	2	0.056902
BIRC6	10	0.03477	0.12806	0.800402	160	5	-0.26508	0.9344	0.97062	0.999995	938	1	-0.26508
C15orf39	10	0.035309	0.12937	0.802436	161	5	-0.15945	0.7577	0.9	0.999995	864	2	-0.15945
C1orf233	10	0.035742	0.13059	0.802436	162	6	-0.35192	0.99865	0.99852	0.999995	991	0	-0.35192
AP3B2	10	0.035813	0.1308	0.802436	163	5	-0.34311	0.63038	0.83287	0.999995	784	1	-0.34311
ADRB1	10	0.036384	0.13228	0.80345	164	3	0.18333	0.16258	0.40028	0.975794	409	5	0.18333
ACTL6A	10	0.036469	0.13257	0.80345	165	6	-0.27488	0.37678	0.65358	0.999995	612	2	-0.27488
ACTRT3	10	0.037308	0.13493	0.80548	166	5	-0.35855	0.063132	0.20845	0.87828	237	3	-0.35855
C7orf62	10	0.037742	0.13627	0.80548	167	5	-0.16152	0.65502	0.84581	0.999995	797	3	-0.16152
CAMK1	10	0.037873	0.13661	0.80548	168	2	0.13958	0.18489	0.43275	0.982282	439	5	0.13958
APEX1	10	0.037888	0.13662	0.80548	169	5	-0.36025	0.91411	0.96039	0.999995	929	2	-0.36025
C16orf92	10	0.03818	0.13751	0.80548	170	5	-0.22297	0.98825	0.98867	0.999995	969	1	-0.22297
AIP	10	0.038526	0.13841	0.80548	171	6	-0.37984	0.49484	0.75035	0.999995	703	2	-0.37984
C1orf51	10	0.038702	0.139	0.80548	172	4	0.012532	0.52047	0.77076	0.999995	719	3	0.012532
BAG1	10	0.03884	0.13936	0.80548	173	4	-0.04721	0.51085	0.76318	0.999995	712	2	-0.04721
AKIRIN1	10	0.039142	0.14015	0.80548	174	5	-0.25627	0.37867	0.65529	0.999995	615	4	-0.25627
C4orf36	10	0.039423	0.14113	0.806478	175	6	-0.27542	0.98964	0.98982	0.999995	972	1	-0.27542
C3orf58	10	0.039877	0.14223	0.80814	176	6	-0.2377	0.41249	0.68313	0.999995	646	1	-0.2377
BMS1	10	0.041262	0.14623	0.814411	177	6	-0.27781	0.43981	0.70549	0.999995	660	2	-0.27781
AKIP1	10	0.041271	0.14625	0.814411	178	4	0.18058	0.1943	0.44578	0.982282	452	5	0.18058
AKAP8L	10	0.041402	0.14673	0.814411	179	5	-0.1525	0.86322	0.93919	0.999995	910	2	-0.1525
C18orf21	10	0.041727	0.14763	0.814411	180	4	0.0087958	0.50189	0.75587	0.999995	707	3	0.0087958
BRCC3	10	0.041733	0.14765	0.814411	181	2	0.12576	0.76432	0.90351	0.999995	867	1	0.12576
C2orf53	10	0.041966	0.14822	0.814411	182	6	-0.27367	0.98854	0.98889	0.999995	970	1	-0.27367
CC2D1B	10	0.043148	0.15143	0.825356	183	6	-0.45084	0.67817	0.85778	0.999995	808	3	-0.45084
C3orf37	10	0.043388	0.15209	0.825356	184	5	-0.37544	0.76268	0.90262	0.999995	865	3	-0.37544
C9orf123	10	0.043658	0.15289	0.825356	185	5	-0.21392	0.19316	0.44406	0.982282	450	3	-0.21392
C12orf56	10	0.044065	0.15398	0.825356	186	4	-0.13067	0.019347	0.083629	0.686974	118	3	-0.13067
BAZ2B	10	0.044203	0.15434	0.825356	187	6	-0.30738	0.85918	0.93768	0.999995	907	1	-0.30738
BLM	10	0.045579	0.15824	0.841716	188	2	0.24976	0.036906	0.14264	0.754702	189	5	0.24976
BRAT1	10	0.046399	0.1605	0.84802	189	6	-0.21408	0.78288	0.91361	0.999995	878	3	-0.21408
ACHE	10	0.046678	0.16112	0.84802	190	5	-0.053911	0.78459	0.91434	0.999995	879	2	-0.053911
BIRC5	10	0.048321	0.1653	0.865455	191	6	-0.26269	0.52213	0.77232	0.999995	721	3	-0.26269
C1orf123	10	0.051515	0.1736	0.904162	192	5	-0.23263	0.46728	0.72801	0.999995	678	4	-0.23263
ARVCF	10	0.053193	0.17799	0.922203	193	6	-0.30312	0.25399	0.52649	0.999995	515	3	-0.30312
C21orf58	10	0.0536	0.17903	0.922859	194	5	-0.15656	0.72326	0.88126	0.999995	842	2	-0.15656
C9orf173	10	0.054157	0.18039	0.925083	195	6	-0.29536	0.78908	0.9157	0.999995	880	2	-0.29536
AURKA	10	0.055285	0.18333	0.931812	196	3	0.29055	0.077515	0.24198	0.909681	266	6	0.29055
ARNTL2	10	0.055552	0.18404	0.931812	197	5	-0.20873	0.77745	0.91057	0.999995	874	3	-0.20873
C20orf111	10	0.056288	0.18607	0.931812	198	6	-0.24242	0.73621	0.88832	0.999995	851	1	-0.24242
C10orf114	10	0.056783	0.18748	0.931812	199	5	-0.25297	0.48852	0.74525	0.999995	691	4	-0.25297
C8orf37	10	0.057459	0.18922	0.931812	200	6	-0.28034	0.83384	0.92939	0.999995	893	1	-0.28034
AFF3	10	0.057459	0.18922	0.931812	201	4	-0.16724	0.5018	0.75581	0.999995	706	3	-0.16724
C14orf142	10	0.057966	0.19051	0.931812	202	6	-0.22719	0.59635	0.81601	0.999995	769	2	-0.22719
APITD1	10	0.058084	0.19082	0.931812	203	3	0.070208	0.19014	0.43984	0.982282	446	2	0.070208
C12orf49	10	0.058391	0.19173	0.931812	204	6	-0.23923	0.62212	0.82865	0.999995	781	2	-0.23923
ACTR1A	10	0.058638	0.1925	0.931812	205	5	0.042149	0.010281	0.049649	0.598175	83	5	0.042149
C19orf59	10	0.059004	0.19327	0.931812	206	6	-0.22394	0.93899	0.97158	0.999995	940	1	-0.22394
ARHGEF2	10	0.05916	0.19363	0.931812	207	4	-0.046285	0.3536	0.63334	0.999995	594	3	-0.046285
BRAP	10	0.059247	0.19382	0.931812	208	6	-0.25762	0.12658	0.34464	0.944193	364	3	-0.25762
C1QBP	10	0.060028	0.19592	0.934253	209	6	-0.32375	0.14605	0.37529	0.970615	386	2	-0.32375
C1orf106	10	0.060138	0.19619	0.934253	210	5	-0.11713	0.51504	0.76663	0.999995	713	3	-0.11713
C2orf72	10	0.061691	0.2	0.946922	211	6	-0.28817	0.54395	0.79	0.999995	738	4	-0.28817
CCDC103	10	0.062079	0.20075	0.946922	212	5	-0.21397	0.97443	0.98108	0.999995	955	1	-0.21397
C14orf1	10	0.062938	0.20291	0.948123	213	6	-0.29414	0.54763	0.79223	0.999995	742	3	-0.29414
ACO2	10	0.063042	0.2032	0.948123	214	3	0.23436	0.16133	0.39857	0.975794	405	5	0.23436
C15orf52	10	0.063306	0.20385	0.948123	215	5	-0.0065136	0.21481	0.47455	0.992781	478	5	-0.0065136
C17orf67	10	0.064918	0.20777	0.961886	216	5	-0.02639	0.12053	0.33429	0.944193	351	4	-0.02639
ALAS1	10	0.065832	0.21011	0.967124	217	6	-0.22202	0.98706	0.98762	0.999995	965	1	-0.22202
C12orf68	10	0.06665	0.2123	0.967124	218	2	0.27923	0.039292	0.14924	0.77408	191	5	0.27923
C14orf37	10	0.066809	0.21277	0.967124	219	4	-0.06003	0.29872	0.58461	0.999995	562	4	-0.06003
C11orf68	10	0.068862	0.21786	0.977272	220	6	-0.17468	0.23533	0.502	0.999995	499	4	-0.17468
CCDC101	10	0.069149	0.21846	0.977272	221	6	-0.28207	0.40624	0.67793	0.999995	642	4	-0.28207
CCDC113	10	0.069403	0.21909	0.977272	222	3	0.22031	0.10706	0.30612	0.928561	328	5	0.22031
C16orf89	10	0.069532	0.21942	0.977272	223	6	-0.18051	0.58243	0.80914	0.999995	764	2	-0.18051
BRAF	10	0.069681	0.21989	0.977272	224	4	-0.035429	0.87679	0.94467	0.999995	917	1	-0.035429
C2orf74	10	0.070885	0.2229	0.986266	225	6	-0.16175	0.039805	0.15054	0.77408	193	2	-0.16175
C11orf84	9	0.071565	0.21118	0.967124	226	5	-0.19453	0.009249	0.044757	0.57808	79	3	-0.19453
C5orf30	10	0.073061	0.22846	0.999965	227	5	-0.17785	0.83144	0.92855	0.999995	892	1	-0.17785
ARID1B	10	0.073209	0.22888	0.999965	228	5	-0.29125	0.63756	0.83643	0.999995	788	3	-0.29125
C10orf76	10	0.075256	0.23369	0.999965	229	6	-0.36611	0.75682	0.89955	0.999995	863	2	-0.36611
ASH1L	10	0.075865	0.23508	0.999965	230	6	-0.19634	0.70113	0.8695	0.999995	823	3	-0.19634
ATAD5	10	0.076127	0.23564	0.999965	231	5	-0.11606	0.011964	0.056153	0.637417	87	4	-0.11606
AURKAIP1	10	0.076357	0.2362	0.999965	232	5	-0.1699	0.97967	0.98328	0.999995	958	1	-0.1699
C4orf3	10	0.078231	0.24079	0.999965	233	6	-0.19733	0.96097	0.97666	0.999995	947	1	-0.19733
C1orf56	10	0.078266	0.24085	0.999965	234	4	-0.070888	0.18981	0.4394	0.982282	444	4	-0.070888
ALYREF	10	0.078337	0.2411	0.999965	235	6	-0.34447	0.76431	0.90348	0.999995	866	3	-0.34447
