sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
AIP_p67254471	AIP	761.51/1164.8	1621/1371.3	963.13	1496.2	0.63492	81305	26659	3.2645	0.99945	0.00054826	0.0010965	0.010655	True
AURKB_p8111064	AURKB	444.21/942.49	254.08/233.59	693.35	243.84	-1.5039	1.2414e+05	18969	3.264	0.00054934	0.99945	0.0010987	0.010666	False
CALM1_p90866417	CALM1	781.7/1321.6	1222.4/1995.7	1051.6	1609.1	0.61314	1.4572e+05	29200	3.2622	0.99945	0.00055271	0.0011054	0.010721	True
AIF1_m31583902	AIF1	444.21/837.39	855.57/1288.5	640.8	1072.1	0.74153	77292	17482	3.2617	0.99945	0.00055374	0.0011075	0.01073	True
ADH5_m100006267	ADH5	1313.9/1562.8	2147.4/2040	1438.3	2093.7	0.54133	30972	40386	3.261	0.99944	0.00055505	0.0011101	0.010745	True
C12orf68_p48577893	C12orf68	425.46/499.67	835.48/817.86	462.57	826.67	0.83627	2753.6	12474	3.26	0.99944	0.00055703	0.0011141	0.010771	True
APOBEC3F_p39441073	APOBEC3F	504.79/491.06	834.83/917.47	497.92	876.15	0.81401	94.23	13463	3.2598	0.99944	0.00055747	0.0011149	0.010771	True
C19orf43_m12845320	C19orf43	589.88/687.48	751.87/1385.8	638.68	1068.8	0.74197	4763.2	17422	3.259	0.99944	0.00055904	0.0011181	0.010791	True
ARGLU1_p107220227	ARGLU1	346.14/782.25	88.15/234.17	564.19	161.16	-1.8013	95096	15322	3.2573	0.00056248	0.99944	0.001125	0.010847	False
C1orf61_p156384478	C1orf61	676.42/1176.8	1438.3/1457.5	926.62	1447.9	0.64333	1.252e+05	25613	3.257	0.99944	0.00056303	0.0011261	0.010847	True
BIN1_p127834200	BIN1	100.96/184.36	338.99/341.94	142.66	340.46	1.2491	3478.2	3689.5	3.2565	0.99943	0.00056934	0.0011387	0.010937	True
C22orf46_p42086710	C22orf46	592.76/1190.6	366.86/394.95	891.68	380.9	-1.2249	1.7871e+05	24614	3.2557	0.00056559	0.99943	0.0011312	0.010886	False
CARM1_m10982491	CARM1	2019.1/2188.2	1076.6/1538.4	2103.7	1307.5	-0.68567	14294	59873	3.2538	0.00056938	0.99943	0.0011388	0.010937	False
BCAS2_p115123904	BCAS2	923.04/503.12	352.6/164.27	713.08	258.44	-1.4607	88166	19528	3.2535	0.00056987	0.99943	0.0011397	0.010937	False
AGPAT3_p45379592	AGPAT3	1058.6/437.65	308.52/255.73	748.13	282.13	-1.4038	1.928e+05	20523	3.253	0.00057106	0.99943	0.0011421	0.010949	False
BYSL_p41889416	BYSL	1272.1/1225.1	608.62/673.98	1248.6	641.3	-0.9601	1104.5	34881	3.2515	0.000574	0.99943	0.001148	0.010988	False
C14orf28_p45369955	C14orf28	794.68/1032.1	1767.5/1092.2	913.38	1429.9	0.64603	28181	25235	3.2514	0.99943	0.00057419	0.0011484	0.010988	True
AFF3_m100625363	AFF3	1137.9/739.17	519.18/310.48	938.55	414.83	-1.176	79505	25955	3.2508	0.00057539	0.99942	0.0011508	0.011001	False
C1orf52_m85725222	C1orf52	2345.1/2622.4	1545.9/1688.7	2483.8	1617.3	-0.61863	38456	71111	3.2493	0.00057852	0.99942	0.001157	0.01105	False
BLZF1_m169346001	BLZF1	126.92/472.11	602.14/576.11	299.51	589.13	0.9736	59577	7952.9	3.2476	0.99942	0.0005822	0.0011644	0.011101	True
ASPM_m197115513	ASPM	1707.6/1035.5	690.94/778.83	1371.6	734.89	-0.89933	2.2585e+05	38446	3.2472	0.00058282	0.99942	0.0011656	0.011101	False
ADCK3_m227149163	ADCK3	1094.7/1032.1	1380.6/1862.3	1063.4	1621.5	0.60817	1958.2	29538	3.2471	0.99942	0.00058284	0.0011657	0.011101	True
C20orf27_p3739277	C20orf27	245.18/768.46	1007.9/766.02	506.82	886.95	0.80616	1.3691e+05	13712	3.2463	0.99942	0.00058466	0.0011693	0.011125	True
ACIN1_m23538715	ACIN1	830.74/956.27	344.17/423.49	893.5	383.83	-1.2169	7879.8	24666	3.2452	0.00058685	0.99941	0.0011737	0.011156	False
C3orf55_p157289020	C3orf55	783.14/694.38	1038.4/1362.5	738.76	1200.4	0.69963	3939.7	20256	3.2438	0.99941	0.00058969	0.0011794	0.011189	True
ADH5_p100003219	ADH5	310.08/568.59	46.019/129.9	439.34	87.961	-2.3074	33414	11826	3.2438	0.00058971	0.99941	0.0011794	0.011189	False
ASXL2_m26101061	ASXL2	2935/1850.5	1678.1/1410.9	2392.7	1544.5	-0.63122	5.8803e+05	68414	3.2431	0.00059114	0.99941	0.0011823	0.011205	False
C17orf53_p42222599	C17orf53	1373/1349.1	596.31/859.22	1361.1	727.76	-0.90228	285.62	38141	3.2428	0.00059185	0.99941	0.0011837	0.011208	False
C19orf52_p11039524	C19orf52	569.69/756.4	331.21/122.33	663.05	226.77	-1.5437	17431	18111	3.2421	0.00059334	0.99941	0.0011867	0.011226	False
ACTR3_m114688941	ACTR3	1126.4/1014.9	833.53/189.9	1070.6	511.72	-1.0636	6220.7	29747	3.2406	0.00059644	0.9994	0.0011929	0.011261	False
C11orf95_p63535991	C11orf95	572.57/346.33	700.01/940.19	459.45	820.1	0.83452	25594	12387	3.2405	0.9994	0.00059666	0.0011933	0.011261	True
BRMS1_m66109601	BRMS1	441.33/404.91	71.298/87.378	423.12	79.338	-2.4003	663.2	11374	3.2404	0.00059689	0.9994	0.0011938	0.011261	False
ADCK5_p145608311	ADCK5	589.88/720.22	1258.7/917.47	655.05	1088.1	0.73126	8494.3	17885	3.2382	0.9994	0.00060151	0.001203	0.011327	True
AHNAK_m62303560	AHNAK	690.84/930.43	1055.9/1532	810.63	1293.9	0.67399	28702	22301	3.2364	0.99939	0.00060519	0.0012104	0.011385	True
APBB2_m40829181	APBB2	615.84/537.58	878.9/1084.7	576.71	981.78	0.76652	3062.3	15674	3.2354	0.99939	0.00060726	0.0012145	0.011414	True
CAMK4_p110560275	CAMK4	461.52/811.54	789.46/1335.7	636.53	1062.6	0.73838	61257	17361	3.2336	0.99939	0.00061125	0.0012225	0.011478	True
C19orf53_p13885466	C19orf53	1300.9/1218.2	898.35/407.77	1259.5	653.06	-0.94655	3422.7	35199	3.2326	0.00061329	0.99939	0.0012266	0.011505	False
AURKA_p54961447	AURKA	1739.4/2455.3	1822/793.4	2097.3	1307.7	-0.68112	2.5629e+05	59686	3.2322	0.00061429	0.99939	0.0012286	0.011513	False
C12orf73_p104350489	C12orf73	2027.8/1404.3	855.57/1153.4	1716	1004.5	-0.77203	1.944e+05	48487	3.2314	0.00061591	0.99938	0.0012318	0.011533	False
ASNA1_p12848424	ASNA1	1776.9/2686.2	1604.8/1228.5	2231.5	1416.7	-0.65513	4.1344e+05	63645	3.2298	0.00061929	0.99938	0.0012386	0.011581	False
C2orf72_p231902282	C2orf72	1303.8/1083.8	847.14/361.75	1193.8	604.45	-0.98068	24204	33297	3.2297	0.00061963	0.99938	0.0012393	0.011581	False
ALPK1_m113332998	ALPK1	1146.6/1314.7	2197.3/1461	1230.6	1829.1	0.57137	14124	34362	3.2286	0.99938	0.00062195	0.0012439	0.011613	True
BUB1_p111431679	BUB1	1474/1104.5	1910.1/1894.4	1289.2	1902.2	0.56085	68275	36058	3.2284	0.99938	0.00062252	0.001245	0.011613	True
C11orf88_p111385616	C11orf88	266.82/277.41	571.03/520.78	272.11	545.9	1.0018	56.066	7200.7	3.2265	0.99937	0.000627	0.001254	0.011667	True
AKIP1_m8933040	AKIP1	944.67/671.98	1685.2/893.59	808.32	1289.4	0.67303	37182	22235	3.2262	0.99937	0.00062716	0.0012543	0.011667	True
ADCK5_p145603106	ADCK5	1455.2/1300.9	2378.7/1645.6	1378.1	2012.2	0.5458	11912	38634	3.2262	0.99937	0.00062717	0.0012543	0.011667	True
C2orf44_m24262275	C2orf44	1270.6/1879.8	2540.1/1968.3	1575.2	2254.2	0.51682	1.8555e+05	44373	3.2235	0.99937	0.00063316	0.0012663	0.011768	True
C6orf203_m107361044	C6orf203	1068.7/1352.6	742.14/494.56	1210.6	618.35	-0.96813	40288	33784	3.2224	0.00063571	0.99936	0.0012714	0.011804	False
C1orf56_m151020400	C1orf56	1495.6/1576.6	1117.4/615.14	1536.1	866.29	-0.82562	3276.1	43232	3.2214	0.00063782	0.99936	0.0012756	0.011832	False
BECN1_m40975795	BECN1	328.83/766.74	1068.2/812.62	547.79	940.39	0.77855	95882	14861	3.2206	0.99936	0.00063971	0.0012794	0.011856	True
CBLB_p105586294	CBLB	806.22/268.79	175.65/122.33	537.5	148.99	-1.8441	1.4441e+05	14572	3.2203	0.00064026	0.99936	0.0012805	0.011856	False
CAPS_m5914488	CAPS	484.6/399.74	801.13/785.82	442.17	793.47	0.84215	3600.3	11905	3.2198	0.99936	0.00064143	0.0012829	0.011865	True
C16orf96_p4606498	C16orf96	698.05/823.6	1245.8/1206.4	760.83	1226.1	0.6877	7881.7	20883	3.2195	0.99936	0.00064199	0.001284	0.011865	True
ACTR5_m37377189	ACTR5	666.32/751.23	1621.7/692.62	708.78	1157.2	0.70639	3605.3	19406	3.2187	0.99936	0.00064386	0.0012877	0.011889	True
ADCK4_m41220284	ADCK4	1211.5/1261.2	1394.8/2273	1236.4	1833.9	0.56844	1237.9	34528	3.2158	0.99935	0.0006504	0.0013008	0.011999	True
BAG1_m33264246	BAG1	248.07/475.55	1094.7/260.39	361.81	677.56	0.90327	25875	9671.9	3.2107	0.99934	0.00066222	0.0013244	0.012206	True
ALG2_m101984163	ALG2	1052.8/684.04	347.41/396.12	868.44	371.76	-1.2218	68009	23950	3.2094	0.00066509	0.99933	0.0013302	0.012247	False
AIFM1_m129299534	AIFM1	1836/1371.5	1090.9/752.04	1603.8	921.44	-0.79882	1.0786e+05	45205	3.2091	0.00066572	0.99933	0.0013314	0.012248	False
AAK1_m69870137	AAK1	1305.2/506.57	331.86/464.85	905.9	398.36	-1.1833	3.1894e+05	25021	3.2087	0.00066671	0.99933	0.0013334	0.012255	False
ARAF_m47422408	ARAF	973.52/646.13	1592.5/984.46	809.82	1288.5	0.66935	53591	22278	3.207	0.99933	0.0006706	0.0013412	0.012315	True
APP_p27462343	APP	54.805/315.31	392.14/423.49	185.06	407.82	1.1357	33932	4830.5	3.2051	0.99932	0.0006778	0.0013556	0.012436	True
ATF7IP2_p10524553	ATF7IP2	677.86/585.83	952.79/1151.6	631.84	1052.2	0.73489	4235	17229	3.2027	0.99932	0.00068075	0.0013615	0.012478	True
C8orf74_m10532161	C8orf74	160.09/528.97	506.86/796.31	344.53	651.58	0.91736	68035	9193.9	3.2024	0.99932	0.00068165	0.0013633	0.012483	True
C19orf52_p11039496	C19orf52	637.47/430.75	246.95/51.262	534.11	149.11	-1.8339	21367	14477	3.2017	0.00068299	0.99932	0.001366	0.012496	False
CASC3_p38296796	CASC3	2003.3/1581.7	1451.2/692.04	1792.5	1071.6	-0.74163	88855	50726	3.2007	0.00068553	0.99931	0.0013711	0.012531	False
C1orf228_m45155526	C1orf228	1002.4/1080.3	1576.3/1594.4	1041.3	1585.3	0.60587	3039.4	28905	3.1997	0.99931	0.00068778	0.0013756	0.012561	True
BCOR_m39937143	BCOR	0/118.89	259.91/106.02	59.444	182.97	1.6058	7067.2	1490.3	3.1997	0.99927	0.00073328	0.0014666	0.013187	True
ATF7IP_p14576920	ATF7IP	811.99/1297.4	1781.8/1421.9	1054.7	1601.9	0.60244	1.1783e+05	29289	3.1971	0.99931	0.000694	0.001388	0.012663	True
C1orf106_p200867561	C1orf106	284.12/508.29	716.86/734.56	396.21	725.71	0.8715	25125	10626	3.1966	0.9993	0.00069536	0.0013907	0.012676	True
C17orf85_m3749408	C17orf85	24.518/473.83	466.03/550.48	249.17	508.26	1.0255	1.0094e+05	6573.2	3.1956	0.9993	0.00069849	0.001397	0.012722	True
C3orf20_m14724608	C3orf20	212.01/546.2	504.27/897.67	379.1	700.97	0.88501	55840	10151	3.1946	0.9993	0.00070015	0.0014003	0.01274	True
C2orf81_m74643222	C2orf81	1469.7/1199.2	789.46/644.85	1334.4	717.16	-0.89494	36567	37368	3.1932	0.00070346	0.9993	0.0014069	0.012789	False
ACTR1A_p104248866	ACTR1A	957.65/646.13	480.29/175.34	801.89	327.81	-1.2879	48523	22052	3.1925	0.00070525	0.99929	0.0014105	0.01281	False
ACVRL1_m52306921	ACVRL1	726.89/510.01	1507.6/558.06	618.45	1032.8	0.73894	23519	16851	3.1922	0.99929	0.00070591	0.0014118	0.01281	True
C22orf29_m19839696	C22orf29	807.66/752.96	1130.4/1364.9	780.31	1247.6	0.67637	1496.2	21438	3.1917	0.99929	0.00070724	0.0014145	0.012823	True
ATXN7_m63965705	ATXN7	315.85/622.01	618.34/1036.3	468.93	827.33	0.81775	46866	12652	3.1863	0.99928	0.00072048	0.001441	0.01304	True
C15orf40_m83680250	C15orf40	1621.1/1530	1000.1/808.54	1575.6	904.33	-0.80027	4145.2	44383	3.1862	0.00072084	0.99928	0.0014417	0.01304	False
C9orf40_m77567518	C9orf40	301.43/418.69	726.59/618.64	360.06	672.61	0.89968	6875.2	9623.5	3.1861	0.99928	0.00072118	0.0014424	0.01304	True
BTRC_m103281420	BTRC	546.61/690.93	998.81/1066	618.77	1032.4	0.73761	10414	16860	3.1857	0.99928	0.00072209	0.0014442	0.013045	True
ARHGEF2_m155938967	ARHGEF2	2063.9/2083.1	1422.7/1177.9	2073.5	1300.3	-0.67282	185.59	58984	3.1837	0.00072706	0.99927	0.0014541	0.013123	False
C2orf81_m74643341	C2orf81	1412/2103.8	1134.3/962.33	1757.9	1048.3	-0.74523	2.3932e+05	49712	3.1825	0.00073003	0.99927	0.0014601	0.013158	False
BCL2L1_m30309922	BCL2L1	1596.6/1597.2	1374.1/469.51	1596.9	921.81	-0.79208	0.2209	45005	3.1822	0.00073068	0.99927	0.0014614	0.013158	False
C20orf78_m18805959	C20orf78	762.95/740.9	1178.4/1239.6	751.92	1209	0.68441	243.18	20630	3.1821	0.99927	0.000731	0.001462	0.013158	True
C19orf44_m16611707	C19orf44	387.97/801.2	912.61/1085.2	594.58	998.92	0.74751	85382	16178	3.179	0.99926	0.00073897	0.0014779	0.013263	True
AKT3_m244006446	AKT3	588.44/651.3	1062.3/1003.7	619.87	1033	0.73589	1975.8	16891	3.1789	0.99926	0.00073923	0.0014785	0.013263	True
ATRX_p76952123	ATRX	261.05/566.87	685.1/813.2	413.96	749.15	0.85421	46764	11119	3.1788	0.99926	0.0007395	0.001479	0.013263	True
AKT1S1_m50376486	AKT1S1	134.13/306.7	503.62/420.58	220.41	462.1	1.0646	14890	5789.2	3.1765	0.99925	0.00074676	0.0014935	0.01337	True
CCDC110_m186383834	CCDC110	930.25/1412.9	1426/2065	1171.6	1745.5	0.5748	1.1646e+05	32656	3.176	0.99925	0.00074654	0.0014931	0.01337	True
C19orf47_p40842258	C19orf47	1677.3/2403.6	1794.8/756.7	2040.5	1275.7	-0.67716	2.6373e+05	58011	3.1751	0.00074884	0.99925	0.0014977	0.013395	False
C2orf74_p61390285	C2orf74	1419.2/1724.7	921.68/888.35	1572	905.01	-0.79587	46685	44277	3.1695	0.0007634	0.99924	0.0015268	0.013635	False
ADRB3_p37823908	ADRB3	462.96/387.68	753.16/775.34	425.32	764.25	0.84399	2833.8	11435	3.1695	0.99924	0.00076361	0.0015272	0.013635	True
C9orf16_p130925725	C9orf16	305.76/759.85	907.42/919.8	532.8	913.61	0.77685	1.031e+05	14440	3.169	0.99924	0.00076487	0.0015297	0.013645	True
BORA_p73305503	BORA	486.04/734	1245.1/791.65	610.02	1018.4	0.7384	30744	16613	3.1683	0.99923	0.00076679	0.0015336	0.013664	True
ANKRD1_m92680005	ANKRD1	636.03/894.24	779.09/1669.5	765.14	1224.3	0.67746	33337	21006	3.1681	0.99923	0.00076732	0.0015346	0.013664	True
C9orf78_m132597002	C9orf78	1070.1/1347.4	701.96/552.23	1208.8	627.09	-0.94568	38433	33730	3.1672	0.00076963	0.99923	0.0015393	0.01368	False
ARL2BP_p57280031	ARL2BP	1362.9/1409.4	841.96/681.55	1386.2	761.76	-0.86286	1081.1	38870	3.1672	0.00076967	0.99923	0.0015393	0.01368	False
BLK_m11403574	BLK	836.5/1020	341.58/500.39	928.26	420.98	-1.1389	16840	25660	3.1668	0.00077071	0.99923	0.0015414	0.01368	False
ALPK3_p85360126	ALPK3	2019.1/2503.5	1318.4/1595.5	2261.3	1456.9	-0.63388	1.1732e+05	64526	3.1667	0.00077095	0.99923	0.0015419	0.01368	False
BUD31_m99013759	BUD31	54.805/260.18	333.8/385.63	157.49	359.72	1.1865	21088	4087.4	3.1631	0.99921	0.00078589	0.0015718	0.013933	True
C12orf44_p52467535	C12orf44	755.74/816.71	434.92/208.54	786.22	321.73	-1.2865	1858.7	21606	3.1601	0.00078864	0.99921	0.0015773	0.013969	False
BANP_p88039691	BANP	1520.1/883.91	583.99/663.49	1202	623.74	-0.94533	2.0239e+05	33535	3.1578	0.00079482	0.99921	0.0015896	0.014066	False
ATF7_m53946326	ATF7	1308.1/1035.5	1509.6/1975.3	1171.8	1742.4	0.57195	37152	32663	3.1573	0.9992	0.00079612	0.0015922	0.014077	True
BCL2L10_m52404892	BCL2L10	1687.4/883.91	915.2/459.03	1285.7	687.11	-0.90292	3.2283e+05	35955	3.1566	0.00079802	0.9992	0.001596	0.014098	False
C3orf17_p112736425	C3orf17	1129.3/1542.1	653.34/797.47	1335.7	725.41	-0.87981	85209	37405	3.1555	0.00080116	0.9992	0.0016023	0.014136	False
C2orf47_p200820592	C2orf47	357.68/542.75	1126.5/468.93	450.21	797.72	0.82387	17126	12129	3.1553	0.9992	0.00080161	0.0016032	0.014136	True
C16orf59_m2510318	C16orf59	376.43/709.88	217.78/103.11	543.15	160.44	-1.753	55596	14731	3.1546	0.00080357	0.9992	0.0016071	0.014158	False
C17orf70_p79519323	C17orf70	894.19/837.39	320.19/436.89	865.79	378.54	-1.1914	1613.7	23874	3.1535	0.00080674	0.99919	0.0016135	0.014202	False
ADAP1_m994066	ADAP1	164.42/65.475	210/362.33	114.95	286.17	1.3084	4894.7	2950	3.1524	0.99918	0.00082376	0.0016475	0.014401	True
C17orf49_m6918452	C17orf49	1375.9/1344	807.61/681.55	1359.9	744.58	-0.86816	510.54	38108	3.1522	0.00081022	0.99919	0.0016204	0.014251	False
C2orf40_p106682241	C2orf40	369.22/673.7	918.44/873.2	521.46	895.82	0.77951	46355	14122	3.1503	0.99918	0.00081563	0.0016313	0.014333	True
C4orf21_p113541253	C4orf21	708.14/1502.5	676.68/429.32	1105.3	553	-0.9978	3.1548e+05	30745	3.1499	0.0008167	0.99918	0.0016334	0.014339	False
ANKRD49_m94231375	ANKRD49	1475.4/1406	2071.5/2076.7	1440.7	2074.1	0.52541	2411	40454	3.1492	0.99918	0.00081863	0.0016373	0.014361	True
CABYR_m21735933	CABYR	435.56/420.42	73.89/108.93	427.99	91.411	-2.2148	114.67	11510	3.1489	0.00081947	0.99918	0.0016389	0.014363	False
ANAPC15_m71822210	ANAPC15	611.51/384.23	187.32/78.641	497.87	132.98	-1.8967	25828	13461	3.1482	0.00082145	0.99918	0.0016429	0.014385	False
BAG4_m38034489	BAG4	703.82/887.35	353.25/306.99	795.59	330.12	-1.2665	16843	21872	3.1473	0.00082382	0.99918	0.0016476	0.014401	False
ATXN3_p92572859	ATXN3	601.42/382.51	79.075/180	491.96	129.54	-1.917	23961	13296	3.1466	0.0008258	0.99917	0.0016516	0.014423	False
CCDC110_m186392130	CCDC110	1103.3/644.41	405.1/366.99	873.86	386.04	-1.1766	1.053e+05	24105	3.142	0.00083894	0.99916	0.0016779	0.01464	False
C2orf88_p191064711	C2orf88	1903.8/2407.1	1686.5/1068.9	2155.4	1377.7	-0.6453	1.2665e+05	61399	3.1385	0.00084896	0.99915	0.0016979	0.014802	False
AEN_m89169489	AEN	92.304/0	180.19/124.66	46.152	152.42	1.7021	4260	1146.7	3.1383	0.99907	0.00093021	0.0018604	0.015886	True
ANO7_p242128027	ANO7	540.84/594.44	902.24/1012.4	567.64	957.33	0.753	1436.3	15419	3.1382	0.99915	0.00084982	0.0016996	0.014804	True
C19orf18_m58485681	C19orf18	1067.3/944.21	1119.4/1939.8	1005.7	1529.6	0.6044	7571	27882	3.1372	0.99915	0.00085277	0.0017055	0.014842	True
C2orf44_p24262256	C2orf44	1162.5/1752.3	1905.6/2278.2	1457.4	2091.9	0.52115	1.7396e+05	40940	3.1361	0.99914	0.00085614	0.0017123	0.014888	True
C17orf96_p36830609	C17orf96	2206.6/1545.5	1127.1/1179	1876.1	1153.1	-0.70175	2.1852e+05	53178	3.1353	0.00085849	0.99914	0.001717	0.014916	False
CCDC110_p186392140	CCDC110	1019.7/711.61	1140.8/1558.8	865.64	1349.8	0.64031	47452	23870	3.1337	0.99914	0.00086298	0.001726	0.014971	True
C17orf49_p6918376	C17orf49	605.74/360.11	878.9/802.72	482.93	840.81	0.7987	30168	13043	3.1337	0.99914	0.00086317	0.0017263	0.014971	True
C1orf177_p55271792	C1orf177	1083.1/825.32	482.23/408.35	954.23	445.29	-1.0979	33232	26404	3.1321	0.00086795	0.99913	0.0017359	0.015036	False
ALAS1_m52236543	ALAS1	1078.8/932.15	649.46/315.73	1005.5	482.59	-1.0575	10753	27874	3.1319	0.00086843	0.99913	0.0017369	0.015036	False
BARD1_m215674281	BARD1	431.23/544.47	1099.9/594.76	487.85	847.34	0.79524	6411.7	13181	3.1312	0.99913	0.00087036	0.0017407	0.015057	True
ADK_p76154015	ADK	445.66/475.55	921.03/697.86	460.6	809.45	0.81207	446.92	12419	3.1303	0.99913	0.0008731	0.0017462	0.015091	True
CCDC113_p58283989	CCDC113	1390.3/1483.5	703.25/913.4	1436.9	808.32	-0.8292	4341.9	40345	3.1295	0.00087541	0.99912	0.0017508	0.015118	False
AMHR2_m53818183	AMHR2	1162.5/1717.8	2225.1/1913.6	1440.1	2069.4	0.52266	1.5423e+05	40438	3.1289	0.99912	0.00087717	0.0017543	0.015135	True
ACTL6B_m100253086	ACTL6B	625.94/897.69	1219.8/1208.2	761.81	1214	0.67155	36925	20912	3.1269	0.99912	0.00088319	0.0017664	0.015226	True
ANKRA2_m72858680	ANKRA2	985.06/1581.7	1596.4/2154.8	1283.4	1875.6	0.54702	1.7801e+05	35889	3.1259	0.99911	0.00088618	0.0017724	0.015264	True
APEX1_m20924191	APEX1	1078.8/1328.4	1024.1/238.25	1203.6	631.17	-0.93019	31161	33582	3.1238	0.00089255	0.99911	0.0017851	0.015361	False
CBX7_p39548392	CBX7	295.66/592.72	613.81/957.67	444.19	785.74	0.82146	44121	11961	3.123	0.9991	0.0008952	0.0017904	0.015393	True
APLP2_p129979326	APLP2	370.66/361.83	474.45/876.11	366.25	675.28	0.88088	38.94	9794.7	3.1226	0.9991	0.00089641	0.0017928	0.015401	True
C12orf68_p48578006	C12orf68	2359.5/1962.5	1477.8/1296.1	2161	1387	-0.63941	78807	61564	3.1197	0.00090523	0.99909	0.0018105	0.015539	False
ALDH1A2_m58306075	ALDH1A2	347.58/223.99	307.23/807.38	285.79	557.3	0.96107	7637.3	7575.8	3.1195	0.99909	0.0009064	0.0018128	0.015546	True
ATRIP_p48493149	ATRIP	184.61/151.63	451.77/296.5	168.12	374.14	1.1494	543.93	4373.3	3.1153	0.99908	0.00092382	0.0018476	0.015817	True
BRD2_p32942451	BRD2	1116.3/1602.4	1805.8/2128.5	1359.4	1967.2	0.53286	1.1815e+05	38091	3.1142	0.99908	0.00092215	0.0018443	0.015802	True
AKIRIN2_p88411381	AKIRIN2	687.95/585.83	333.15/120	636.89	226.58	-1.487	5215.1	17371	3.1134	0.00092487	0.99908	0.0018497	0.015822	False
AURKA_p54961503	AURKA	452.87/442.81	646.86/932.62	447.84	789.74	0.817	50.516	12063	3.113	0.99907	0.0009261	0.0018522	0.015829	True
ALMS1_p73613010	ALMS1	614.4/606.5	1282.7/740.39	610.45	1011.5	0.72768	31.181	16625	3.1108	0.99907	0.00093299	0.001866	0.01592	True
CAMK2N2_p183978977	CAMK2N2	875.45/1045.9	371.4/535.92	960.66	453.66	-1.0807	14522	26588	3.1093	0.00093768	0.99906	0.0018754	0.015979	False
C20orf24_m35234387	C20orf24	1002.4/1750.6	851.03/680.39	1376.5	765.71	-0.84527	2.7992e+05	38588	3.1092	0.00093804	0.99906	0.0018761	0.015979	False
C9orf123_p7799586	C9orf123	389.41/480.72	742.14/800.39	435.06	771.26	0.82455	4169.1	11707	3.1073	0.99906	0.00094408	0.0018882	0.016057	True
C17orf47_p56621446	C17orf47	1737.9/1082.1	661.77/922.13	1410	791.95	-0.83139	2.1507e+05	39562	3.1072	0.00094425	0.99906	0.0018885	0.016057	False
BAG6_p31619450	BAG6	920.16/871.85	443.99/371.07	896	407.53	-1.1347	1166.9	24737	3.1057	0.00094906	0.99905	0.0018981	0.016125	False
ANKRD49_p94231408	ANKRD49	151.44/299.8	481.58/447.96	225.62	464.77	1.0393	11007	5930.9	3.1054	0.99905	0.00095182	0.0019036	0.016158	True
C9orf9_p135759456	C9orf9	83.65/286.02	512.05/288.93	184.84	400.49	1.1113	20477	4824.4	3.1048	0.99904	0.00095579	0.0019116	0.016212	True
ALX3_m110613044	ALX3	494.69/475.55	122.5/138.06	485.12	130.28	-1.8887	183.16	13104	3.1032	0.0009571	0.99904	0.0019142	0.016216	False
C16orf93_m30772962	C16orf93	894.19/813.26	327.32/428.15	853.73	377.74	-1.1743	3275	23530	3.1031	0.00095764	0.99904	0.0019153	0.016216	False
C11orf52_m111796411	C11orf52	135.57/365.28	653.99/351.26	250.43	502.63	1.0022	26383	6607.3	3.1027	0.99904	0.00095993	0.0019199	0.016241	True
ATF6B_p32095485	ATF6B	204.8/339.43	506.21/564.46	272.12	535.34	0.97363	9063.2	7200.9	3.1019	0.99904	0.00096204	0.0019241	0.016263	True
C9orf91_p117386619	C9orf91	76.439/130.95	156.85/369.9	103.69	263.38	1.3364	1485.7	2651.6	3.1011	0.99901	0.00098582	0.0019716	0.016539	True
ASPM_p197115377	ASPM	752.85/778.8	219.73/413.01	765.83	316.37	-1.2728	336.66	21026	3.0997	0.00096858	0.99903	0.0019372	0.016359	False
ANAPC5_m121784779	ANAPC5	979.29/1106.2	528.25/502.72	1042.7	515.48	-1.015	8050.3	28944	3.0991	0.00097061	0.99903	0.0019412	0.01638	False
ADNP2_p77875475	ADNP2	243.74/103.38	294.26/469.51	173.56	381.89	1.1332	9850.4	4520	3.0987	0.99902	0.00097671	0.0019534	0.016439	True
C12orf29_p88434020	C12orf29	496.13/906.31	985.2/1275.7	701.22	1130.5	0.6882	84121	19192	3.0985	0.99903	0.00097257	0.0019451	0.016399	True
C1orf27_p186348959	C1orf27	69.228/51.69	298.15/64.078	60.459	181.12	1.5672	153.78	1516.7	3.0982	0.99896	0.0010361	0.0020722	0.017209	True
AHCY_p32883304	AHCY	1595.1/1368.1	2205/2022.5	1481.6	2113.8	0.51238	25777	41644	3.0979	0.99903	0.00097465	0.0019493	0.01642	True
C14orf79_m105452852	C14orf79	587/539.3	773.25/1119	563.15	946.14	0.7475	1137.3	15293	3.097	0.99902	0.00097741	0.0019548	0.016439	True
C12orf60_p14976138	C12orf60	1210/1011.4	1758.5/1551.3	1110.7	1654.9	0.57477	19728	30901	3.0954	0.99902	0.00098282	0.0019656	0.016516	True
ADARB1_p46595645	ADARB1	1064.4/975.23	1556.2/1524.5	1019.8	1540.3	0.59449	3974.2	28285	3.0951	0.99902	0.00098373	0.0019675	0.016518	True
C17orf97_p260214	C17orf97	209.13/279.13	767.42/217.28	244.13	492.35	1.0091	2450.2	6435.3	3.0943	0.99901	0.00098767	0.0019753	0.016556	True
