id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
C3orf33	0.017448	0.983606	0.00717883072739955	285315	C3orf33	C3orf33
C5orf34	0.13645	0.928561	0.0321895608598947	375444	C5orf34	C5orf34
AKAP13	0.25585	0.983606	0.00717883072739955	11214	AKAP13	AKAP13
C1orf35	-0.19849	0.999965	1.52005728781941e-05	79169	C1orf35	C1orf35
ACRC	0.18874	0.239528	0.620643711749543	93953	ACRC	ACRC
BRPF3	0.10003	0.944193	0.0249392236385517	27154	BRPF3	BRPF3
C2orf68	-0.16927	0.999965	1.52005728781941e-05	388969	C2orf68	C2orf68
C6orf62	0.081204	0.999995	2.1714778382296e-06	81688	C6orf62	C6orf62
C17orf53	-0.055869	0.999965	1.52005728781941e-05	78995	C17orf53	C17orf53
C1orf95	-0.14986	0.999965	1.52005728781941e-05	375057	C1orf95	C1orf95
ALDH6A1	-0.18782	0.999965	1.52005728781941e-05	4329	ALDH6A1	ALDH6A1
ARFGAP1	-0.18114	0.999965	1.52005728781941e-05	55738	ARFGAP1	ARFGAP1
CBLB	0.059196	0.999995	2.1714778382296e-06	868	CBLB	CBLB
AEBP1	-0.025595	0.999965	1.52005728781941e-05	165	AEBP1	AEBP1
C22orf29	0.1737	0.982282	0.00776381418625162	79680	C22orf29	C22orf29
CAND1	-0.18001	0.999965	1.52005728781941e-05	55832	CAND1	CAND1
ATXN7L3	0.22158	0.928561	0.0321895608598947	56970	ATXN7L3	ATXN7L3
C1orf131	0.048042	0.944193	0.0249392236385517	128061	C1orf131	C1orf131
BRD2	0.19049	0.57808	0.238012055776053	6046	BRD2	BRD2
C15orf57	0.18204	0.999995	2.1714778382296e-06	90416	C15orf57	C15orf57
C9orf16	-0.0080455	0.999965	1.52005728781941e-05	79095	C9orf16	C9orf16
C4orf27	0.096546	0.970615	0.0129530013301388	54969	C4orf27	C4orf27
C15orf48	-0.15166	0.999965	1.52005728781941e-05	84419	C15orf48	C15orf48
CCDC114	-0.17085	0.999965	1.52005728781941e-05	93233	CCDC114	CCDC114
C1orf21	-0.069491	0.999965	1.52005728781941e-05	81563	C1orf21	C1orf21
BAHD1	-0.041391	0.999965	1.52005728781941e-05	22893	BAHD1	BAHD1
C1orf27	-0.16992	0.999965	1.52005728781941e-05	54953	C1orf27	C1orf27
C11orf86	-0.093612	0.999965	1.52005728781941e-05	254439	C11orf86	C11orf86
AGL	-0.024253	0.999965	1.52005728781941e-05	178	AGL	AGL
ACBD6	-0.037693	0.999965	1.52005728781941e-05	84320	ACBD6	ACBD6
CAV2	-0.21173	0.999965	1.52005728781941e-05	858	CAV2	CAV2
C17orf49	-0.01488	0.999965	1.52005728781941e-05	124944	C17orf49	C17orf49
C1orf54	-0.040503	0.999965	1.52005728781941e-05	79630	C1orf54	C1orf54
C12orf60	-0.077812	0.999965	1.52005728781941e-05	144608	C12orf60	C12orf60
AZI1	-0.138	0.999965	1.52005728781941e-05	22994	AZI1	AZI1
ANKRD37	-0.12296	0.999965	1.52005728781941e-05	353322	ANKRD37	ANKRD37
ANKHD1	-0.21807	0.999965	1.52005728781941e-05	54882	ANKHD1	ANKHD1
CABLES2	-0.19602	0.999965	1.52005728781941e-05	81928	CABLES2	CABLES2
C3orf70	-0.18523	0.999965	1.52005728781941e-05	285382	C3orf70	C3orf70
C11orf48	-0.064369	0.999965	1.52005728781941e-05	79081	C11orf48	C11orf48
CBS	0.32559	0.778032	0.109002540365555	875	CBS	CBS
ADRM1	-0.14488	0.999965	1.52005728781941e-05	11047	ADRM1	ADRM1
APEX2	-0.14913	0.999965	1.52005728781941e-05	27301	APEX2	APEX2
BAZ1A	0.096349	0.999995	2.1714778382296e-06	11177	BAZ1A	BAZ1A
AGPAT3	-0.19609	0.999965	1.52005728781941e-05	56894	AGPAT3	AGPAT3
ARID1A	-0.041314	0.999965	1.52005728781941e-05	8289	ARID1A	ARID1A
CALB1	-0.050038	0.999965	1.52005728781941e-05	793	CALB1	CALB1
C22orf43	-0.17488	0.999965	1.52005728781941e-05	51233	C22orf43	C22orf43
ALDH1B1	-0.1317	0.999965	1.52005728781941e-05	219	ALDH1B1	ALDH1B1
BLK	-0.0081271	0.999965	1.52005728781941e-05	640	BLK	BLK
BIN3	-0.08	0.999965	1.52005728781941e-05	55909	BIN3	BIN3
C1orf52	-0.0058763	0.999965	1.52005728781941e-05	148423	C1orf52	C1orf52
CAPN3	-0.066912	0.999965	1.52005728781941e-05	825	CAPN3	CAPN3
ALKBH5	-0.099028	0.999965	1.52005728781941e-05	54890	ALKBH5	ALKBH5
C12orf65	-0.097738	0.999965	1.52005728781941e-05	91574	C12orf65	C12orf65
C1orf189	0.020655	0.999995	2.1714778382296e-06	388701	C1orf189	C1orf189
CA9	-0.10597	0.999965	1.52005728781941e-05	768	CA9	CA9
